,node,node.type,current_rangetxt,event_type,event_txt,ana_dispersal_from,dispersal_to,event_time,abs_event_time,nmap
1,7,tip,B,d,B->AB,B,A,0.194709238245535,0.166207067554465,1
2,146,tip,C,d,C->BC,C,B,0.157799663720623,0.153446737979377,1
3,162,tip,C,d,C->AC,C,A,0.600374593989797,0.144230459610203,1
4,169,tip,C,d,C->BC,C,B,0.348823161855776,0.151353960744224,1
5,195,internal,BC,d,BC->ABC,C,A,23.4800443897531,18.1310818802469,1
6,252,internal,B,d,B->AB,B,A,0.151292293342898,0.689361119757102,1
7,266,internal,C,d,C->BC,C,B,0.350692583129458,2.88491824487054,1
8,295,internal,A,d,A->AB,A,B,0.626085999014721,0.989483996485279,1
9,7,tip,A,d,A->AB,A,B,0.344570648558681,0.0163456572413188,2
10,169,tip,C,d,C->BC,C,B,0.0985296959058203,0.40164742669418,2
11,195,internal,BC,d,BC->ABC,B,A,14.937892250389,26.673234019611,2
12,252,internal,B,d,B->AB,B,A,0.258527449351358,0.582125963748642,2
13,345,internal,C,d,C->BC,C,B,0.424546920723934,0.800251575076066,2
14,357,internal,C,d,C->AC,C,A,0.0425899310861173,1.31419150101388,2
15,7,tip,B,d,B->AB,B,A,0.0380970118893424,0.322819293910658,3
16,146,tip,C,d,C->BC,C,B,0.142958344404545,0.168288057295455,3
17,162,tip,C,d,C->AC,C,A,0.519866023591037,0.224739030008963,3
18,169,tip,C,d,C->BC,C,B,0.0057840941010739,0.494393028498926,3
19,195,internal,AB,d,AB->ABC,A,C,21.5023580077598,20.1087682622402,3
20,221,internal,A,d,A->AB,A,B,0.142374303483476,1.24032986361652,3
21,252,internal,B,d,B->AB,B,A,0.211545620276518,0.629107792823482,3
22,294,internal,C,d,C->BC,C,B,1.49940039564251,2.4068208313575,3
23,7,tip,B,d,B->AB,B,A,0.326667142540674,0.0342491632593258,4
24,146,tip,C,d,C->BC,C,B,0.227470730386959,0.0837756713130413,4
25,162,tip,C,d,C->AC,C,A,0.738078565454716,0.00652648814528356,4
26,169,tip,C,d,C->BC,C,B,0.311722187989157,0.188454934610843,4
27,195,internal,B,d,B->AB,B,A,5.80101337293933,35.8101128970607,4
28,195,internal,AB,d,AB->ABC,B,C,19.3243500009741,22.2867762690259,4
29,203,internal,B,d,B->AB,B,A,0.284560791464356,1.92085960943564,4
30,240,internal,A,d,A->AB,A,B,0.21677744528263,0.90284932931737,4
31,252,internal,A,d,A->AB,A,B,0.0901900497424828,0.750463363357517,4
32,294,internal,B,d,B->BC,B,C,1.46257132141535,2.44364990558465,4
33,7,tip,B,d,B->AB,B,A,0.127185875459987,0.233730430340013,5
34,162,tip,C,d,C->AC,C,A,0.482144944598916,0.262460109001084,5
35,169,tip,C,d,C->BC,C,B,0.23604044421197,0.26413667838803,5
36,201,internal,A,d,A->AB,A,B,0.339240176538726,3.23740583236127,5
37,252,internal,B,d,B->AB,B,A,0.160063367143423,0.680590045956577,5
38,294,internal,A,d,A->AC,A,C,0.406704978443537,3.49951624855646,5
39,294,internal,AC,d,AC->ABC,C,B,1.22228583744562,2.68393538955438,5
40,346,internal,C,d,C->BC,C,B,0.156638353804319,0.595651190295681,5
41,7,tip,B,d,B->AB,B,A,0.0110060680324495,0.34991023776755,6
42,162,tip,C,d,C->AC,C,A,0.590659956191256,0.153945097408744,6
43,169,tip,C,d,C->BC,C,B,0.361547663981412,0.138629458618588,6
44,195,internal,BC,d,BC->ABC,C,A,33.3850893859142,8.22603688408579,6
45,252,internal,B,d,B->AB,B,A,0.32220384605538,0.51844956704462,6
46,347,internal,C,d,C->BC,C,B,0.158122747622146,0.349834496377854,6
47,52,tip,B,d,B->AB,B,A,0.345345817194899,0.0338973958051014,7
48,146,tip,C,d,C->BC,C,B,0.29700347054323,0.0142429311567699,7
49,162,tip,C,d,C->AC,C,A,0.469727033808438,0.274878019791562,7
50,195,internal,B,d,B->BC,B,C,10.3979886839007,31.2131375860993,7
51,195,internal,BC,d,BC->ABC,C,A,10.8629297677719,30.7481965022281,7
52,213,internal,B,d,B->AB,B,A,0.136392132846024,0.528464164453976,7
53,267,internal,C,d,C->BC,C,B,0.138350133425111,1.54540046517489,7
54,294,internal,A,d,A->AC,A,C,0.804606514546204,3.1016147124538,7
55,366,internal,C,d,C->BC,C,B,0.105643472246576,0.672223108153424,7
56,7,tip,B,d,B->AB,B,A,0.00104546791436752,0.359870837885633,8
57,52,tip,A,d,A->AB,A,B,0.0576208894637041,0.321622323536296,8
58,169,tip,C,d,C->BC,C,B,0.383317791575049,0.116859331024951,8
59,195,internal,A,d,A->AC,A,C,4.19987056576587,37.4112557042341,8
60,195,internal,AC,d,AC->ABC,C,B,9.61846854677836,31.9926577232216,8
61,231,internal,B,d,B->BC,B,C,0.284130207860499,1.3929565117395,8
62,266,internal,B,d,B->BC,B,C,0.957504412494839,2.27810641550516,8
63,346,internal,C,d,C->BC,C,B,0.00907991199285255,0.743209632107147,8
64,357,internal,C,d,C->AC,C,A,0.213969308133564,1.14281212396644,8
65,7,tip,B,d,B->AB,B,A,0.165553930818923,0.195362374981077,9
66,162,tip,C,d,C->AC,C,A,0.47582096167709,0.26878409192291,9
67,169,tip,C,d,C->BC,C,B,0.260514510956285,0.239662611643715,9
68,203,internal,A,d,A->AB,A,B,0.0912693889876951,2.11415101191231,9
69,252,internal,B,d,B->AB,B,A,0.307970387486736,0.532683025613264,9
70,344,internal,C,d,C->BC,C,B,0.0457183318999468,1.78705245880005,9
71,7,tip,A,d,A->AB,A,B,0.243113725997734,0.117802579802266,10
72,146,tip,C,d,C->BC,C,B,0.0183859302678345,0.292860471432165,10
73,162,tip,C,d,C->AC,C,A,0.552914955296259,0.191690098303741,10
74,169,tip,C,d,C->BC,C,B,0.121491351669547,0.378685770930453,10
75,196,internal,A,d,A->AB,A,B,0.055201232796556,6.86662860160344,10
76,213,internal,B,d,B->AB,B,A,0.281789485622994,0.383066811677006,10
77,251,internal,A,d,A->AB,A,B,0.178211741684531,1.21203010181547,10
78,294,internal,B,d,B->BC,B,C,0.170996848309399,3.7352243786906,10
79,7,tip,B,d,B->AB,B,A,0.305095712450796,0.0558205933492043,11
80,146,tip,C,d,C->BC,C,B,0.238344741280696,0.072901660419304,11
81,162,tip,C,d,C->AC,C,A,0.195758063146937,0.548846990453063,11
82,169,tip,C,d,C->BC,C,B,0.049965127335694,0.450211995264306,11
83,195,internal,A,d,A->AC,A,C,9.52782645873921,32.0832998112608,11
84,195,internal,AC,d,AC->ABC,A,B,10.3285837110485,31.2825425589515,11
85,222,internal,A,d,A->AB,A,B,0.0514319608041811,1.02759470209582,11
86,252,internal,B,d,B->AB,B,A,0.441233592313447,0.399419820786554,11
87,7,tip,B,d,B->AB,B,A,0.30322384974213,0.0576924560578704,12
88,162,tip,C,d,C->AC,C,A,0.506211764763185,0.238393288836815,12
89,169,tip,C,d,C->BC,C,B,0.449580702142955,0.0505964204570454,12
90,195,internal,AB,d,AB->ABC,B,C,6.60010661681822,35.0110196531818,12
91,200,internal,A,d,A->AC,A,C,0.463814975548931,4.03301200485107,12
92,214,internal,B,d,B->BC,B,C,0.271963184038751,0.888246136761249,12
93,230,internal,B,d,B->AB,B,A,0.0477828972445823,1.96286772135542,12
94,252,internal,B,d,B->AB,B,A,0.095313121053883,0.745340292046117,12
95,276,internal,A,d,A->AB,A,B,0.30511525182241,4.33005977937759,12
96,339,internal,C,d,C->BC,C,B,0.620683114906835,1.08139492149317,12
97,346,internal,C,d,C->BC,C,B,0.233784084678351,0.518505459421649,12
98,351,internal,B,d,B->BC,B,C,0.112709130312465,1.17441066828754,12
99,7,tip,B,d,B->AB,B,A,0.0537124182886035,0.307203887511397,13
100,146,tip,C,d,C->BC,C,B,0.158797136282499,0.152449265417501,13
101,162,tip,C,d,C->AC,C,A,0.7099465019803,0.0346585516197,13
102,169,tip,C,d,C->BC,C,B,0.387160681360324,0.113016441239676,13
103,195,internal,A,d,A->AB,A,B,6.44522906699064,35.1658972030094,13
104,195,internal,AB,d,AB->ABC,B,C,7.22828990049237,34.3828363695076,13
105,203,internal,B,d,B->AB,B,A,0.137931859867683,2.06748854103232,13
106,252,internal,B,d,B->AB,B,A,0.0380569082484965,0.802596504851504,13
107,7,tip,B,d,B->AB,B,A,0.0876624910587299,0.27325381474127,14
108,162,tip,C,d,C->AC,C,A,0.13378806824033,0.61081698535967,14
109,169,tip,C,d,C->BC,C,B,0.131447683102721,0.368729439497279,14
110,195,internal,B,d,B->AB,B,A,2.29528036622329,39.3158459037767,14
111,195,internal,AB,d,AB->ABC,B,C,33.2659172335812,8.34520903641878,14
112,201,internal,A,d,A->AB,A,B,0.592587582698051,2.98405842620195,14
113,251,internal,B,d,B->AB,B,A,0.243247982439503,1.1469938610605,14
114,294,internal,A,d,A->AC,A,C,1.66849985318226,2.23772137381774,14
115,294,internal,AC,d,AC->ABC,C,B,2.13694940274655,1.76927182425345,14
116,346,internal,C,d,C->BC,C,B,0.0692886615413018,0.683000882558698,14
117,7,tip,B,d,B->AB,B,A,0.196166929053772,0.164749376746228,15
118,52,tip,A,d,A->AB,A,B,0.317954445702613,0.0612887672973872,15
