,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
1,200,internal,2,founder (j),A->A,C,A,C,3.576646,201,261,1
2,201,internal,2,founder (j),A->A,B,A,B,2.7486633,202,255,1
3,202,internal,2,founder (j),A->A,B,A,B,2.2054204,203,229,1
4,203,internal,2,founder (j),A->B,A,A,B,1.6275389,204,228,1
5,218,internal,3,founder (j),B->B,C,B,C,0.4777196,219,12,1
6,220,internal,3,founder (j),B->C,B,B,C,0.6232862,16,17,1
7,223,internal,3,founder (j),B->B,A,B,A,0.4909459,224,20,1
8,227,internal,3,founder (j),B->B,A,B,A,0.5946518,24,25,1
9,230,internal,3,founder (j),B->B,A,B,A,1.6770867,231,239,1
10,233,internal,3,founder (j),B->C,B,B,C,0.5509269,234,236,1
11,237,internal,3,founder (j),B->C,B,B,C,0.7430716,238,36,1
12,240,internal,2,founder (j),A->B,A,A,B,0.6166606,241,243,1
13,244,internal,2,founder (j),A->B,A,A,B,0.3460421,40,41,1
14,255,internal,3,founder (j),B->A,B,B,A,1.9759907,256,260,1
15,295,internal,5,founder (j),AB->AB,C,B,C,0.8551954,296,100,1
16,322,internal,2,founder (j),A->A,B,A,B,3.3665084,323,132,1
17,340,internal,4,founder (j),C->C,B,C,B,0.5409251,341,142,1
18,342,internal,4,founder (j),C->B,C,C,B,0.1590774,139,140,1
19,343,internal,4,founder (j),C->B,C,C,B,0.7205464,144,145,1
20,346,internal,4,founder (j),C->C,B,C,B,0.5079573,347,148,1
21,348,internal,4,founder (j),C->C,B,C,B,0.5832148,349,152,1
22,351,internal,4,founder (j),C->B,C,C,B,0.966689,352,155,1
23,353,internal,4,founder (j),C->A,C,C,A,0.5783452,156,157,1
24,199,internal,2,founder (j),A->C,A,A,C,4.496827,200,269,2
25,200,internal,4,founder (j),C->B,C,C,B,3.576646,201,261,2
26,203,internal,3,founder (j),B->B,A,B,A,1.6275389,204,228,2
27,213,internal,3,founder (j),B->A,B,B,A,0.3609163,7,8,2
28,218,internal,3,founder (j),B->B,C,B,C,0.4777196,219,12,2
29,220,internal,3,founder (j),B->C,B,B,C,0.6232862,16,17,2
30,223,internal,3,founder (j),B->B,A,B,A,0.4909459,224,20,2
31,227,internal,3,founder (j),B->B,A,B,A,0.5946518,24,25,2
32,233,internal,3,founder (j),B->C,B,B,C,0.5509269,234,236,2
33,237,internal,3,founder (j),B->C,B,B,C,0.7430716,238,36,2
34,239,internal,3,founder (j),B->B,A,B,A,1.1196268,240,43,2
35,240,internal,3,founder (j),B->B,A,B,A,0.6166606,241,243,2
36,244,internal,2,founder (j),A->B,A,A,B,0.3460421,40,41,2
37,255,internal,3,founder (j),B->A,B,B,A,1.9759907,256,260,2
38,267,internal,4,founder (j),C->B,C,C,B,1.4937886,67,68,2
39,276,internal,2,founder (j),A->A,B,A,B,3.9062213,277,294,2
40,295,internal,3,founder (j),B->B,C,B,C,0.8551954,296,100,2
41,296,internal,3,founder (j),B->A,B,B,A,0.268087,297,99,2
42,322,internal,2,founder (j),A->A,B,A,B,3.3665084,323,132,2
43,340,internal,4,founder (j),C->C,B,C,B,0.5409251,341,142,2
44,342,internal,4,founder (j),C->B,C,C,B,0.1590774,139,140,2
45,343,internal,4,founder (j),C->B,C,C,B,0.7205464,144,145,2
46,348,internal,4,founder (j),C->C,B,C,B,0.5832148,349,152,2
47,351,internal,4,founder (j),C->B,C,C,B,0.966689,352,155,2
48,353,internal,4,founder (j),C->A,C,C,A,0.5783452,156,157,2
49,200,internal,2,founder (j),A->A,C,A,C,3.576646,201,261,3
50,202,internal,2,founder (j),A->A,B,A,B,2.2054204,203,229,3
51,204,internal,2,founder (j),A->B,A,A,B,1.3827041,205,221,3
52,218,internal,3,founder (j),B->B,C,B,C,0.4777196,219,12,3
53,220,internal,3,founder (j),B->C,B,B,C,0.6232862,16,17,3
54,227,internal,3,founder (j),B->B,A,B,A,0.5946518,24,25,3
55,233,internal,3,founder (j),B->C,B,B,C,0.5509269,234,236,3
56,237,internal,3,founder (j),B->C,B,B,C,0.7430716,238,36,3
57,239,internal,3,founder (j),B->B,A,B,A,1.1196268,240,43,3
58,243,internal,3,founder (j),B->B,A,B,A,0.451998,244,42,3
59,244,internal,3,founder (j),B->B,A,B,A,0.3460421,40,41,3
60,255,internal,2,founder (j),A->A,B,A,B,1.9759907,256,260,3
61,267,internal,4,founder (j),C->B,C,C,B,1.4937886,67,68,3
62,276,internal,2,founder (j),A->A,C,A,C,3.9062213,277,294,3
63,295,internal,4,founder (j),C->A,C,C,A,0.8551954,296,100,3
64,296,internal,2,founder (j),A->A,B,A,B,0.268087,297,99,3
65,322,internal,2,founder (j),A->A,B,A,B,3.3665084,323,132,3
66,340,internal,4,founder (j),C->C,B,C,B,0.5409251,341,142,3
67,342,internal,4,founder (j),C->B,C,C,B,0.1590774,139,140,3
68,343,internal,4,founder (j),C->B,C,C,B,0.7205464,144,145,3
69,346,internal,4,founder (j),C->C,B,C,B,0.5079573,347,148,3
70,348,internal,4,founder (j),C->C,B,C,B,0.5832148,349,152,3
71,351,internal,4,founder (j),C->B,C,C,B,0.966689,352,155,3
72,353,internal,4,founder (j),C->A,C,C,A,0.5783452,156,157,3
73,200,internal,3,founder (j),B->B,C,B,C,3.576646,201,261,4
74,218,internal,3,founder (j),B->B,C,B,C,0.4777196,219,12,4
75,220,internal,3,founder (j),B->C,B,B,C,0.6232862,16,17,4
76,223,internal,3,founder (j),B->B,A,B,A,0.4909459,224,20,4
77,227,internal,3,founder (j),B->B,A,B,A,0.5946518,24,25,4
78,230,internal,3,founder (j),B->B,A,B,A,1.6770867,231,239,4
79,233,internal,3,founder (j),B->C,B,B,C,0.5509269,234,236,4
80,237,internal,3,founder (j),B->C,B,B,C,0.7430716,238,36,4
81,251,internal,3,founder (j),B->A,B,B,A,0.8406534,252,254,4
82,255,internal,3,founder (j),B->A,B,B,A,1.9759907,256,260,4
83,267,internal,4,founder (j),C->B,C,C,B,1.4937886,67,68,4
84,276,internal,2,founder (j),A->A,B,A,B,3.9062213,277,294,4
85,296,internal,3,founder (j),B->A,B,B,A,0.268087,297,99,4
86,322,internal,2,founder (j),A->A,B,A,B,3.3665084,323,132,4
87,340,internal,4,founder (j),C->C,B,C,B,0.5409251,341,142,4
88,342,internal,4,founder (j),C->B,C,C,B,0.1590774,139,140,4
89,343,internal,4,founder (j),C->B,C,C,B,0.7205464,144,145,4
90,346,internal,4,founder (j),C->C,B,C,B,0.5079573,347,148,4
91,348,internal,4,founder (j),C->C,B,C,B,0.5832148,349,152,4
92,351,internal,4,founder (j),C->B,C,C,B,0.966689,352,155,4
93,353,internal,4,founder (j),C->A,C,C,A,0.5783452,156,157,4
94,200,internal,2,founder (j),A->A,C,A,C,3.576646,201,261,5
95,218,internal,3,founder (j),B->B,C,B,C,0.4777196,219,12,5
