AB->A,AB	AB->B,AB	ABC->A,ABC	ABC->B,ABC	ABC->C,ABC	AC->A,AC	AC->C,AC	BC->B,BC	BC->C,BC
1	4	1	0	0	0	0	0	0	1
2	1	0	0	0	0	0	2	1	2
3	2	2	0	0	0	0	0	0	0
4	4	2	0	0	0	0	0	1	0
5	3	3	1	1	0	0	0	1	1
6	1	0	0	0	0	0	0	0	1
7	0	1	0	0	0	0	0	0	1
8	0	0	0	0	0	0	2	2	1
9	1	0	0	0	0	1	0	1	3
10	1	1	0	0	0	0	0	1	0
11	1	1	0	0	0	0	0	0	0
12	3	1	0	0	0	0	0	2	1
13	2	1	0	0	0	0	0	0	0
14	1	2	0	1	0	0	0	1	1
15	0	0	0	0	0	0	0	0	1
16	3	1	0	0	0	0	0	0	0
17	1	0	0	0	0	1	0	1	1
18	1	0	0	0	0	1	0	1	2
19	2	3	1	0	1	2	0	0	0
20	1	4	3	2	1	0	3	2	1
21	1	0	0	0	1	1	0	0	0
22	2	2	1	0	0	0	0	1	2
23	3	4	0	0	0	1	0	1	5
24	1	0	0	0	0	0	0	1	1
25	2	2	0	0	0	0	0	0	1
26	1	1	0	0	0	0	0	0	0
27	2	2	0	0	0	0	0	0	0
28	3	2	0	0	0	0	0	0	0
29	0	1	0	0	0	0	0	1	2
30	3	2	0	0	0	0	0	0	0
31	4	2	0	0	0	0	0	1	2
32	1	1	1	0	0	0	0	0	0
33	4	3	0	0	0	0	0	1	1
34	3	1	0	0	0	0	0	0	1
35	2	2	0	0	0	0	0	1	1
36	3	2	0	0	0	1	0	0	0
37	1	0	0	0	0	0	0	1	1
38	3	2	0	0	0	0	0	1	3
39	1	2	0	0	0	1	0	0	1
40	1	3	0	0	0	1	0	0	0
41	1	0	0	0	0	0	0	0	0
42	1	2	0	0	0	0	1	0	0
43	4	1	0	0	0	0	0	3	3
44	1	2	0	0	0	0	0	0	2
45	2	1	0	0	0	0	0	0	0
46	1	1	0	0	0	3	0	1	1
47	1	3	0	0	0	0	0	1	1
48	2	1	0	0	0	1	0	0	0
49	1	0	0	0	0	0	0	1	1
50	1	0	0	0	0	0	0	0	1
51	1	0	0	0	0	0	0	1	1
52	3	1	0	0	0	1	0	0	0
53	1	4	0	0	0	0	0	0	0
54	1	0	0	0	0	0	0	0	0
55	3	3	0	0	0	0	0	1	2
56	1	0	0	0	0	1	0	1	1
57	1	2	1	0	0	0	0	1	3
58	1	1	0	0	0	0	0	1	1
59	1	1	0	0	0	0	0	0	1
60	1	1	0	0	0	0	1	0	1
61	3	2	0	1	0	0	0	1	0
62	4	2	0	0	0	0	0	1	2
63	1	0	0	0	0	0	0	0	0
64	2	1	0	0	0	0	0	0	1
65	0	2	0	0	0	0	0	0	2
66	0	0	1	0	0	0	0	0	0
67	2	0	0	0	0	0	2	0	1
68	3	1	1	0	0	0	0	2	1
69	4	4	0	0	0	0	0	1	1
70	4	4	0	0	0	0	0	1	1
71	1	0	0	0	0	0	0	1	1
72	2	2	0	0	0	0	0	0	0
73	1	0	0	0	0	1	0	1	3
74	1	0	0	0	0	1	0	1	3
75	1	1	0	0	0	1	0	0	1
76	2	3	0	0	0	0	0	0	1
77	2	2	0	0	0	0	1	1	2
78	2	2	0	0	0	0	0	0	1
79	1	0	0	0	1	1	0	1	2
80	2	2	0	0	0	0	0	3	4
81	0	0	1	2	1	0	0	0	3
82	1	0	0	0	0	1	0	0	0
83	3	2	0	0	0	0	0	0	0
84	0	0	0	0	0	0	0	0	0
85	1	0	0	0	0	0	0	1	2
86	3	1	0	0	0	0	0	1	2
87	1	0	0	0	0	1	0	0	1
88	3	1	0	0	0	0	0	0	0
89	1	0	0	0	0	0	0	1	1
90	0	0	0	0	0	1	0	0	4
91	4	3	0	0	0	0	0	1	3
92	2	1	0	0	0	0	0	1	4
93	3	1	0	0	0	0	0	0	0
94	0	1	0	0	0	0	0	0	0
95	1	0	0	0	0	0	0	0	0
96	1	1	0	0	0	1	2	1	1
97	0	0	0	1	1	1	0	1	0
98	3	3	0	0	0	0	0	0	1
99	3	3	0	0	0	0	0	0	1
100	2	0	0	0	0	0	0	0	0
101	2	3	1	0	0	0	0	1	1
102	0	1	0	0	0	0	0	0	0
103	3	4	0	0	0	0	0	1	1
104	1	0	0	0	0	0	0	0	0
105	3	2	0	0	0	1	0	0	0
106	1	2	0	0	0	0	1	0	0
107	2	2	0	0	0	1	0	0	1
108	0	1	0	0	0	1	0	1	2
109	0	0	0	0	0	0	0	1	1
110	3	2	0	0	0	0	0	0	0
111	1	1	0	0	0	0	0	0	0
112	2	1	0	0	0	0	0	1	3
113	2	3	0	0	0	0	0	0	0
114	4	5	0	0	0	0	0	1	1
115	3	2	0	0	0	0	0	1	2
116	1	0	1	1	1	1	0	0	0
117	3	2	0	0	0	0	0	2	2
118	1	0	0	0	0	0	1	1	1
119	3	1	0	0	0	0	0	1	2
120	2	4	0	1	0	0	0	1	1
121	1	1	0	0	0	0	0	0	1
122	0	3	0	0	0	0	0	0	0
123	1	0	0	0	0	0	0	1	2
124	0	0	0	0	0	1	0	0	1
125	1	0	0	0	0	1	0	1	1
126	1	1	0	0	0	0	0	1	3
127	2	2	1	0	1	2	0	1	2
128	2	1	0	0	0	0	0	0	0
129	3	1	0	0	0	0	0	1	1
130	0	1	0	0	0	0	0	0	0
131	1	0	0	0	0	0	0	0	0
132	3	3	0	0	0	0	0	0	1
133	1	1	0	0	0	0	0	0	3
134	0	2	2	2	1	0	0	0	0
135	5	1	0	0	0	0	0	1	3
136	3	1	1	0	0	0	1	1	1
137	3	2	0	1	0	0	0	1	1
138	4	4	0	0	0	0	0	1	2
139	3	1	0	0	0	1	0	2	1
140	1	0	0	0	0	0	0	1	2
141	5	2	0	0	0	0	0	1	1
142	1	1	1	0	0	0	0	0	0
143	1	0	0	0	0	0	0	0	0
144	4	4	0	0	0	0	0	0	1
145	0	1	0	0	0	1	0	0	2
146	2	1	0	0	0	0	0	0	0
147	1	0	0	0	0	0	2	0	1
148	2	4	1	0	0	0	0	0	1
149	0	1	0	0	0	0	0	1	3
150	1	1	0	0	0	0	0	0	0
151	2	1	0	0	0	0	0	0	0
152	3	1	0	0	0	0	0	1	2
153	1	0	2	1	1	0	0	1	3
154	3	1	2	0	0	0	0	0	1
155	1	2	0	0	0	0	0	0	0
156	5	5	0	0	0	1	0	1	2
157	1	1	0	0	0	0	1	1	2
158	3	1	0	0	0	0	0	2	2
159	0	0	2	1	1	0	0	1	1
160	2	1	0	0	0	0	0	0	0
161	0	0	0	0	0	0	0	0	1
162	4	1	0	0	0	1	0	1	1
163	1	1	0	0	0	0	0	1	1
164	2	0	2	0	1	1	0	1	2
