A->A,A	B->B,B	C->C,C
1	68	36	54
2	68	39	51
3	70	35	55
4	66	37	55
5	71	35	51
6	67	41	53
7	71	36	52
8	68	39	49
9	70	36	51
10	68	36	55
11	69	38	53
12	71	36	50
13	67	39	53
14	70	36	52
15	70	37	53
16	69	38	53
17	70	38	53
18	69	39	53
19	66	35	54
20	66	35	51
21	67	37	55
22	70	36	53
23	69	36	50
24	71	36	54
25	65	40	54
26	70	35	54
27	74	29	56
28	71	36	54
29	73	36	52
30	66	39	55
31	70	33	52
32	74	33	55
33	66	37	54
34	69	38	52
35	67	39	54
36	67	38	53
37	69	39	53
38	70	35	52
39	70	37	53
40	70	36	54
41	72	35	54
42	68	38	54
43	66	38	52
44	71	37	52
45	68	39	55
46	66	38	53
47	72	34	53
48	67	38	55
49	68	38	54
50	72	35	53
51	67	41	52
52	67	39	55
53	75	32	55
54	72	37	53
55	70	33	52
56	69	39	54
57	69	38	50
58	70	37	54
59	69	39	54
60	70	38	52
61	67	37	55
62	69	35	53
63	72	37	55
64	67	39	54
65	72	35	51
66	69	37	53
67	71	37	52
68	65	40	54
69	74	28	53
70	68	35	54
71	71	37	54
72	64	40	54
73	72	35	52
74	69	39	50
75	69	36	54
76	69	35	53
77	74	33	52
78	71	35	54
79	68	38	53
80	73	35	47
81	65	41	49
82	68	40	55
83	69	37	55
84	68	40	54
85	70	38	53
86	65	40	52
87	70	38	53
88	65	41	55
89	70	38	54
90	67	40	51
91	65	38	51
92	69	40	50
93	69	39	55
94	70	38	55
95	69	38	54
96	69	39	51
97	68	36	53
98	67	38	53
99	67	38	52
100	69	39	55
101	67	36	54
102	70	38	55
103	66	38	54
104	68	39	55
105	67	36	55
106	68	37	54
107	66	39	54
108	69	38	51
109	74	34	54
110	67	39	55
111	73	34	54
112	68	39	52
113	69	35	53
114	66	35	52
115	71	36	53
116	65	36	54
117	67	36	52
118	70	39	53
119	67	40	53
120	68	35	53
121	65	43	53
122	66	41	52
123	69	39	53
124	71	34	54
125	73	35	54
126	70	36	51
127	64	37	53
128	69	38	53
129	69	39	54
130	72	35	55
131	68	39	54
132	68	37	53
133	71	38	51
134	68	37	55
135	65	38	52
136	69	37	51
137	69	36	53
138	70	34	53
139	67	37	54
140	71	38	53
141	68	37	53
142	70	37	55
143	71	38	53
144	63	39	52
145	71	36	51
146	65	39	55
147	71	36	52
148	71	34	53
149	73	33	52
150	67	38	55
151	69	39	55
152	71	35	53
153	68	39	51
154	67	40	52
155	69	36	55
156	68	33	50
157	73	34	52
158	67	37	53
159	67	40	54
160	67	39	55
161	71	38	53
162	65	40	54
163	68	40	54
164	67	37	53
165	69	40	54
166	70	33	55
167	69	36	53
168	70	38	53
169	70	39	49
170	71	38	53
171	67	40	55
172	66	38	51
173	70	39	54
174	70	35	52
175	72	34	54
176	70	37	52
177	68	37	54
178	68	39	52
179	70	38	52
180	67	39	54
181	71	34	54
182	73	33	52
183	67	39	55
184	69	39	54
185	68	40	54
186	71	33	52
187	68	38	53
188	66	41	51
189	70	37	53
190	69	38	52
191	70	38	53
192	74	34	53
193	68	41	52
194	67	40	53
195	72	34	50
196	71	37	54
197	69	37	55
198	72	35	51
199	71	37	53
200	69	38	54
201	70	39	53
202	69	36	54
203	71	36	55
204	70	38	55
205	72	36	52
206	70	38	51
207	67	38	55
208	71	35	53
209	69	38	53
210	68	39	54
211	68	39	54
212	65	41	52
213	69	37	55
214	75	33	53
215	66	39	53
216	70	37	50
217	70	38	53
218	73	32	55
219	71	37	55
220	69	35	53
221	67	37	55
222	72	36	53
223	70	39	48
224	69	34	53
225	71	36	53
226	73	33	53
227	65	37	54
228	72	35	54
229	70	37	52
230	71	37	55
231	69	37	55
232	67	40	50
233	71	37	51
234	67	39	53
235	70	36	54
236	68	38	54
237	72	33	51
238	73	34	53
239	69	41	52
240	72	32	53
241	65	37	54
242	69	33	54
243	66	36	51
244	67	38	55
245	69	37	52
246	69	38	54
247	69	38	53
248	67	35	52
249	69	39	54
250	71	33	52
251	71	36	53
252	71	36	52
253	69	38	55
254	71	37	55
255	65	39	53
256	67	38	54
257	69	37	52
258	67	37	51
259	68	40	54
260	68	38	53
261	70	39	53
262	69	35	52
263	75	30	54
264	71	38	52
265	70	35	52
266	70	36	53
267	70	37	51
268	70	38	52
269	70	38	54
270	69	38	54
271	70	36	46
272	71	36	50
273	71	35	51
274	66	38	55
275	70	37	54
276	68	39	53
277	70	39	52
278	71	35	54
279	67	36	53
280	70	37	53
281	67	39	52
282	69	38	53
283	72	36	52
284	69	37	55
285	67	39	54
286	67	34	52
287	70	37	54
288	70	37	53
289	66	37	53
290	68	39	54
291	69	36	55
292	70	37	52
293	67	40	51
294	71	36	52
295	70	38	54
296	74	34	54
297	67	36	55
298	67	40	55
299	75	33	53
300	71	37	55
301	69	36	53
302	71	34	51
303	70	39	52
304	69	39	54
305	71	36	54
306	69	39	55
307	69	39	53
308	70	38	55
309	69	36	53
310	70	37	55
311	69	38	52
312	67	40	53
313	73	33	51
314	67	41	51
315	72	33	54
316	73	31	55
317	69	40	52
318	68	38	54
319	67	41	54
320	66	41	55
321	70	38	50
322	68	40	55
