AB->A,B	ABC->A,BC	ABC->B,AC	ABC->C,AB	AC->A,C	BC->B,C
1	2	1	0	1	0	1
2	1	1	0	1	0	0
3	2	0	0	1	0	1
4	4	0	0	1	0	1
5	3	0	0	2	0	0
6	1	1	0	1	0	0
7	1	0	0	1	1	1
8	1	0	0	1	0	2
9	1	0	0	0	1	0
10	2	0	0	0	1	1
11	2	0	0	1	0	0
12	3	0	0	1	1	3
13	2	0	0	1	0	0
14	4	0	0	2	0	0
15	0	0	0	0	1	1
16	3	0	0	1	0	0
17	1	0	0	1	0	0
18	1	0	0	0	1	0
19	3	0	1	1	2	0
20	2	1	0	1	0	1
21	0	0	1	0	1	0
22	2	0	0	1	0	0
23	2	0	0	1	0	0
24	1	0	0	1	0	1
25	1	0	0	1	0	0
26	0	1	0	0	0	1
27	1	0	0	0	1	0
28	3	0	0	1	0	0
29	2	0	0	1	0	2
30	2	0	0	1	0	0
31	1	0	0	1	0	0
32	1	0	0	1	1	0
33	1	0	0	1	0	0
34	2	0	0	1	1	1
35	2	0	0	1	1	2
36	2	0	0	1	0	0
37	2	0	0	1	0	0
38	3	0	1	1	1	0
39	0	0	0	0	1	0
40	3	0	0	1	0	0
41	2	0	0	1	1	0
42	1	0	0	1	0	0
43	1	0	0	1	0	1
44	2	0	0	0	0	2
45	3	0	0	1	0	0
46	3	0	0	2	0	0
47	5	1	0	1	0	0
48	2	0	0	1	0	2
49	2	1	0	1	0	1
50	1	0	0	1	0	1
51	0	0	0	0	1	2
52	1	0	0	1	0	0
53	2	0	0	2	1	0
54	1	0	0	0	1	0
55	1	1	0	0	1	1
56	1	0	0	0	2	0
57	2	0	0	1	0	1
58	3	0	0	1	0	0
59	4	0	0	1	1	0
60	2	0	0	1	2	0
61	1	1	0	2	0	0
62	2	0	0	1	0	0
63	1	0	0	1	0	1
64	2	0	0	1	0	0
65	2	0	0	0	1	1
66	2	0	0	1	0	1
67	3	0	0	1	0	1
68	1	0	0	1	1	1
69	1	0	0	2	0	0
70	2	0	0	1	1	0
71	2	0	0	1	0	0
72	1	0	0	1	0	0
73	0	0	0	0	1	1
74	1	0	0	1	0	2
75	1	0	0	1	0	0
76	2	0	0	1	0	2
77	1	0	0	1	0	0
78	2	0	0	1	0	0
79	0	0	1	0	1	1
80	2	0	0	1	0	2
81	0	2	0	0	0	2
82	1	0	0	1	0	1
83	4	1	0	1	0	0
84	1	0	0	0	1	1
85	2	0	0	1	0	0
86	2	0	0	1	0	1
87	0	0	0	0	1	0
88	1	0	0	1	1	0
89	3	0	0	1	0	0
90	1	0	0	1	0	1
91	2	0	0	1	1	1
92	2	0	0	0	1	1
93	2	0	0	1	0	0
94	1	0	0	1	0	0
95	1	1	0	1	1	1
96	4	0	0	1	0	1
97	0	1	1	0	1	0
98	3	0	0	1	0	0
99	2	0	0	1	0	1
100	1	0	0	1	0	0
101	2	0	0	1	0	0
102	1	0	0	1	0	0
103	1	0	0	2	0	0
104	1	0	0	1	1	0
105	2	0	0	1	0	0
106	1	0	0	1	0	1
107	1	0	0	1	0	1
108	2	0	0	1	0	0
109	2	0	0	1	1	0
110	2	0	0	1	0	0
111	2	0	0	1	0	0
112	1	0	0	1	0	0
113	3	0	0	1	0	0
114	3	0	0	1	0	0
115	2	0	0	1	0	0
116	1	0	1	0	1	0
117	1	0	0	0	1	2
118	1	0	0	1	0	1
119	2	0	0	1	0	0
120	4	0	0	2	0	1
121	1	0	0	1	0	1
122	1	0	0	0	0	0
123	1	0	0	1	1	1
124	0	0	0	0	1	1
125	1	0	0	1	0	0
126	2	0	0	1	0	3
127	1	0	1	0	1	0
128	2	0	0	1	1	0
129	2	0	0	1	0	0
130	0	0	0	0	1	0
131	1	0	0	1	0	2
132	3	0	0	0	1	1
133	2	1	0	1	0	0
134	1	0	0	1	0	0
135	3	0	0	1	1	0
136	2	0	0	1	0	1
137	3	0	0	2	0	1
138	2	0	0	1	0	0
139	2	0	0	1	0	1
140	1	0	0	1	0	0
141	3	0	0	1	0	1
142	1	0	0	1	1	1
143	1	0	0	1	0	0
144	3	0	0	1	0	2
145	1	0	0	1	0	2
146	1	0	0	1	0	0
147	1	0	0	1	1	4
148	2	0	0	1	0	1
149	2	0	0	1	0	0
150	2	0	0	1	0	0
151	1	0	0	0	1	1
152	3	0	0	1	0	0
153	0	1	0	0	0	1
154	2	1	0	1	0	1
155	1	0	0	0	1	0
156	0	0	0	1	0	0
157	1	0	0	0	1	1
158	1	0	0	1	0	1
159	1	1	0	0	0	1
160	2	0	0	1	0	0
161	1	0	0	1	0	0
162	1	0	0	1	0	0
163	2	0	0	1	0	1
164	0	0	2	0	2	0
165	1	0	0	0	2	0
166	1	0	0	1	0	0
167	2	0	0	1	1	1
168	3	0	0	1	0	1
169	1	0	0	1	1	1
170	1	0	0	0	0	1
171	2	0	0	1	0	0
172	1	0	0	1	0	1
173	1	0	0	1	0	0
174	2	0	0	1	0	0
175	1	0	0	0	0	0
176	0	0	0	0	2	1
177	2	0	0	1	0	0
178	4	0	0	0	1	0
179	2	0	0	1	0	0
180	4	0	0	1	0	0
181	1	0	1	0	1	0
182	2	0	0	1	0	0
183	3	0	0	1	1	0
184	2	0	0	0	0	2
185	1	0	0	1	0	1
186	3	0	0	1	0	2
187	2	0	0	1	0	1
188	2	0	0	1	0	0
189	1	0	0	0	1	0
190	2	0	0	1	1	1
191	1	0	0	1	0	1
192	2	0	0	1	0	0
193	0	0	0	0	1	2
194	1	0	0	1	0	1
195	1	0	0	1	0	1
196	3	0	0	1	0	1
197	1	0	0	1	1	1
198	0	0	0	0	1	2
199	2	0	0	1	0	0
200	1	0	0	1	0	2
201	2	0	0	0	1	0
202	2	1	0	1	0	0
203	1	1	0	1	0	1
204	1	0	0	1	0	0
205	1	0	0	1	0	0
206	4	0	0	1	0	1
207	2	0	0	0	1	3
208	1	0	0	0	2	0
209	1	0	0	1	0	1
210	0	0	1	0	1	0
211	2	0	0	1	0	0
212	2	1	0	1	0	1
213	2	0	0	1	0	2
214	0	0	0	0	1	0
215	2	0	0	1	0	0
216	1	0	0	1	1	0
217	2	0	0	1	0	0
