,node,node.type,current_rangetxt,event_type,event_txt,ana_dispersal_from,dispersal_to,event_time,abs_event_time,nmap
1,9,tip,B,d,B->AB,B,A,0.183628989394842,0.321051523805158,1
2,41,internal,B,d,B->AB,B,A,0.0328058880579569,1.37570903994204,1
3,9,tip,B,d,B->AB,B,A,0.213186519269897,0.291493993930103,2
4,9,tip,B,d,B->AB,B,A,0.0745497644437327,0.430130748756267,3
5,9,tip,B,d,B->AB,B,A,0.149001185287989,0.355679327912011,4
6,9,tip,B,d,B->AB,B,A,0.177632301841234,0.327048211358766,5
7,23,internal,A,d,A->AB,A,B,0.935420683854827,6.35726223814517,5
8,9,tip,B,d,B->AB,B,A,0.144719259666136,0.359961253533864,6
9,9,tip,B,d,B->AB,B,A,0.340848584256786,0.163831928943214,7
10,9,tip,B,d,B->AB,B,A,0.48333249777277,0.0213480154272304,8
11,9,tip,B,d,B->AB,B,A,0.266699378414705,0.237981134785295,9
12,25,internal,B,d,B->BC,B,C,0.0873237497851596,1.59946834715484,9
13,9,tip,B,d,B->AB,B,A,0.438055825670262,0.066624687529738,10
14,23,internal,B,d,B->AB,B,A,3.33665485709804,3.95602806490196,10
15,36,internal,A,d,A->AB,A,B,0.941529281321243,2.38927181867876,10
16,9,tip,A,d,A->AB,A,B,0.465834042812123,0.0388464703878774,11
17,9,tip,A,d,A->AB,A,B,0.400182355351293,0.104498157848707,12
18,9,tip,B,d,B->AB,B,A,0.35477079638589,0.14990971681411,13
19,9,tip,B,d,B->AB,B,A,0.310289593146616,0.194390920053384,14
20,9,tip,B,d,B->AB,B,A,0.446033296326827,0.0586472168731733,15
21,9,tip,B,d,B->AB,B,A,0.285343474050962,0.219337039149038,16
22,36,internal,B,d,B->AB,B,A,1.19344642827735,2.13735467172265,16
23,9,tip,A,d,A->AB,A,B,0.330775139576263,0.173905373623737,17
24,41,internal,B,d,B->AB,B,A,0.938732327347562,0.469782600652438,17
25,9,tip,B,d,B->AB,B,A,0.0114342941162497,0.49324621908375,18
26,9,tip,B,d,B->AB,B,A,0.102215268260415,0.402465244939585,19
27,9,tip,B,d,B->AB,B,A,0.444828063496579,0.059852449703421,20
28,9,tip,B,d,B->AB,B,A,0.246806230663392,0.257874282536608,21
29,9,tip,B,d,B->AB,B,A,0.359245141227467,0.145435371972533,22
30,9,tip,B,d,B->AB,B,A,0.267639970403042,0.237040542796958,23
31,25,internal,B,d,B->BC,B,C,0.0475661432414105,1.63922595369859,23
32,9,tip,B,d,B->AB,B,A,0.291744083538957,0.212936429661043,24
33,9,tip,B,d,B->AB,B,A,0.119334334645795,0.385346178554205,25
34,23,internal,A,d,A->AB,A,B,3.11968705689462,4.17299586510538,25
35,9,tip,B,d,B->AB,B,A,0.22596583075068,0.27871468244932,26
36,37,internal,B,d,B->AB,B,A,0.0740986675820913,1.33441625561791,26
37,9,tip,B,d,B->AB,B,A,0.307555287998052,0.197125225201948,27
38,41,internal,B,d,B->AB,B,A,0.339019398874412,1.06949552912559,27
39,9,tip,B,d,B->AB,B,A,0.41514449817617,0.0895360150238295,28
40,9,tip,B,d,B->AB,B,A,0.102112972355012,0.402567540844988,29
41,9,tip,B,d,B->AB,B,A,0.0854864988229526,0.419194014377047,30
42,37,internal,B,d,B->AB,B,A,0.1776797647829,1.2308351584171,30
43,9,tip,B,d,B->AB,B,A,0.27124456454494,0.23343594865506,31
44,9,tip,B,d,B->AB,B,A,0.21020068974553,0.29447982345447,32
45,23,internal,A,d,A->AB,A,B,2.39339473710974,4.89928818489027,32
46,9,tip,B,d,B->AB,B,A,0.353938545273513,0.150741967926487,33
47,23,internal,A,d,A->AB,A,B,2.38114942212971,4.91153349987029,33
48,9,tip,B,d,B->AB,B,A,0.330034074475553,0.174646438724447,34
49,36,internal,B,d,B->AB,B,A,0.0117616474349287,3.31903945256507,34
50,9,tip,B,d,B->AB,B,A,0.245607373807453,0.259073139392547,35
51,9,tip,A,d,A->AB,A,B,0.244366451504964,0.260314061695036,36
52,9,tip,B,d,B->AB,B,A,0.0483923007126117,0.456288212487388,37
