,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
1,22,root,3,founder (j),B->B,A,B,A,7.2926829,23,21,1
2,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,1
3,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,1
4,23,internal,2,founder (j),A->B,A,A,B,3.3308011,24,36,2
5,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,2
6,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,2
7,41,internal,2,founder (j),A->A,B,A,B,0.37615,19,20,2
8,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,3
9,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,3
10,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,3
11,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,4
12,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,4
13,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,4
14,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,5
15,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,5
16,41,internal,2,founder (j),A->A,B,A,B,0.37615,19,20,5
17,23,internal,2,founder (j),A->B,A,A,B,3.3308011,24,36,6
18,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,6
19,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,6
20,41,internal,2,founder (j),A->A,B,A,B,0.37615,19,20,6
21,24,internal,4,founder (j),C->C,B,C,B,1.6867921,25,13,7
22,25,internal,4,founder (j),C->C,B,C,B,1.5904059,26,33,7
23,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,7
24,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,7
25,23,internal,3,founder (j),B->B,A,B,A,3.3308011,24,36,8
26,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,8
27,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,8
28,41,internal,2,founder (j),A->A,B,A,B,0.37615,19,20,8
29,36,internal,3,founder (j),B->A,B,B,A,1.4085149,37,41,9
30,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,9
31,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,9
32,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,10
