A->A,A	B->B,B	C->C,C
1	2	7	7
2	4	5	7
3	2	7	7
4	2	7	7
5	4	5	7
6	4	5	7
7	2	5	7
8	3	5	7
9	2	6	7
10	2	5	7
11	2	6	7
12	2	6	7
13	2	7	7
14	2	7	7
15	2	7	7
16	2	6	7
17	2	6	7
18	2	7	7
19	2	7	7
20	2	7	7
21	2	6	7
22	2	7	7
23	2	6	7
24	2	7	7
25	4	5	7
26	2	7	7
27	2	6	7
28	2	7	7
29	2	7	7
30	2	7	7
31	2	7	7
32	4	5	7
33	4	5	7
34	2	6	7
35	2	7	7
36	2	4	7
37	2	7	7
38	4	4	7
39	2	7	7
40	2	7	7
41	2	7	7
42	2	7	7
43	2	5	7
44	2	7	7
45	2	7	7
46	2	7	7
47	2	7	7
48	2	6	7
49	2	6	7
50	2	7	7
51	2	7	7
52	2	7	7
53	2	6	7
54	2	7	7
55	2	7	7
56	2	7	7
57	2	7	7
58	2	7	7
59	2	7	7
60	2	7	7
61	2	7	7
62	2	7	7
63	2	7	7
64	2	7	7
65	2	6	7
66	3	5	7
67	2	4	7
68	4	5	7
69	2	6	7
70	2	7	7
71	3	4	7
72	2	4	7
73	2	7	7
74	2	7	7
75	2	7	7
76	2	7	7
77	4	5	7
78	3	5	7
79	2	6	7
80	2	6	7
81	2	6	7
82	2	7	7
83	2	7	7
84	2	7	7
85	3	5	7
86	2	7	7
87	3	5	7
88	2	7	7
89	2	6	7
90	2	7	7
91	4	5	7
92	3	5	7
93	2	7	7
94	2	7	7
95	2	7	7
96	2	7	7
97	2	7	7
98	2	7	7
99	4	5	7
100	2	7	7
101	4	5	7
102	3	5	7
103	3	5	7
104	2	7	7
105	2	7	7
106	2	7	7
107	3	5	7
108	2	7	7
109	2	7	7
110	2	5	7
111	2	7	7
112	2	7	7
113	2	7	7
114	2	7	7
115	2	7	7
116	2	7	7
117	2	7	7
118	3	5	7
119	2	7	7
120	2	7	7
121	2	7	7
122	3	5	7
123	2	6	7
124	2	7	7
125	2	7	7
126	4	5	7
127	2	7	7
128	2	6	7
129	2	7	7
130	3	4	7
131	2	6	7
132	3	5	7
133	4	5	7
134	2	7	7
135	2	7	7
136	2	7	7
137	2	5	7
138	2	7	7
139	2	7	7
140	2	7	7
141	4	5	7
142	4	5	7
143	3	4	7
144	2	7	7
145	2	7	7
146	4	5	7
147	4	5	7
148	2	7	7
149	3	4	7
150	2	7	7
151	2	7	7
152	4	5	7
153	3	5	7
154	4	5	7
155	2	7	7
156	2	7	7
157	2	6	7
158	2	7	7
159	2	7	7
160	2	7	7
161	2	7	7
162	2	7	7
163	2	7	7
164	2	7	7
165	2	7	7
166	2	5	7
167	2	7	7
168	2	6	7
169	2	6	7
170	2	7	7
171	2	7	7
172	2	7	7
173	2	7	7
174	2	7	7
175	3	5	7
176	2	7	7
177	2	7	7
178	2	4	7
179	2	7	7
180	4	5	7
181	2	7	7
182	2	7	7
183	2	7	7
184	2	5	7
185	2	7	7
186	4	5	7
187	2	7	7
188	2	7	7
