,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
1,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,1
2,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,1
3,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,1
4,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,1
5,71,internal,4,founder (j),C->B,C,C,B,1.2675084,72,3,2
6,72,internal,3,founder (j),B->B,C,B,C,1.2643832,1,2,2
7,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,2
8,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,2
9,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,2
10,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,2
11,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,3
12,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,3
13,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,3
14,84,internal,4,founder (j),C->B,C,C,B,1.4469109,85,19,3
15,85,internal,3,founder (j),B->B,C,B,C,1.4461165,86,18,3
16,86,internal,3,founder (j),B->B,C,B,C,1.4397735,16,17,3
17,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,3
18,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,4
19,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,4
20,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,4
21,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,4
22,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,4
23,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,5
24,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,5
25,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,5
26,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,5
27,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,5
28,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,6
29,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,6
30,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,6
31,82,internal,4,founder (j),C->B,C,C,B,1.4678452,83,21,6
32,86,internal,3,founder (j),B->B,C,B,C,1.4397735,16,17,6
33,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,6
34,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,7
35,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,7
36,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,7
37,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,7
38,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,7
39,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,8
40,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,8
41,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,8
42,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,8
43,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,8
44,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,9
45,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,9
46,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,9
47,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,9
48,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,9
49,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,10
50,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,10
51,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,10
52,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,10
53,88,internal,4,founder (j),C->B,C,C,B,1.0948354,89,90,10
54,89,internal,3,founder (j),B->C,B,B,C,0.6536147,24,25,10
55,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,11
56,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,11
57,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,11
58,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,11
59,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,11
60,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,12
61,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,12
62,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,12
63,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,12
64,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,12
65,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,13
66,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,13
67,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,13
68,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,13
69,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,13
70,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,14
71,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,14
72,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,14
73,84,internal,4,founder (j),C->C,B,C,B,1.4469109,85,19,14
74,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,14
75,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,14
76,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,15
77,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,15
78,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,15
79,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,15
80,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,15
81,66,internal,4,founder (j),C->C,A,C,A,1.5425277,67,76,16
82,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,16
83,76,internal,2,founder (j),A->A,C,A,C,1.0402374,77,15,16
84,77,internal,2,founder (j),A->A,B,A,B,1.0095247,78,14,16
85,78,internal,2,founder (j),A->A,C,A,C,0.9767818,79,13,16
86,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,16
87,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,17
88,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,17
89,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,17
90,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,17
91,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,18
92,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,18
93,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,18
94,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,18
95,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,19
96,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,19
97,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,19
98,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,19
99,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,19
100,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,20
101,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,20
102,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,20
103,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,20
104,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,21
105,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,21
106,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,21
107,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,21
108,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,21
109,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,22
110,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,22
111,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,22
112,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,22
113,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,22
114,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,23
115,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,23
116,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,23
117,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,23
118,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,23
119,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,24
120,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,24
121,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,24
122,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,24
123,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,24
124,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,25
125,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,25
126,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,25
127,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,25
128,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,25
129,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,26
130,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,26
131,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,26
132,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,26
133,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,26
134,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,27
135,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,27
136,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,27
137,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,27
138,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,27
139,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,28
140,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,28
141,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,28
142,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,28
143,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,28
144,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,29
145,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,29
146,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,29
147,85,internal,4,founder (j),C->C,B,C,B,1.4461165,86,18,29
148,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,29
149,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,29
150,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,30
151,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,30
152,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,30
153,83,internal,4,founder (j),C->B,C,C,B,1.4472368,84,20,30
154,86,internal,3,founder (j),B->B,C,B,C,1.4397735,16,17,30
155,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,30
156,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,31
157,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,31
158,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,31
159,84,internal,4,founder (j),C->B,C,C,B,1.4469109,85,19,31
160,86,internal,3,founder (j),B->B,C,B,C,1.4397735,16,17,31
161,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,31
162,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,32
163,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,32
164,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,32
165,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,32
166,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,32
167,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,33
168,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,33
169,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,33
170,83,internal,4,founder (j),C->B,C,C,B,1.4472368,84,20,33
171,86,internal,3,founder (j),B->B,C,B,C,1.4397735,16,17,33
172,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,33
173,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,34
174,77,internal,6,founder (j),AC->AC,B,C,B,1.0095247,78,14,34
175,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,34
176,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,34
177,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,35
178,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,35
179,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,35
180,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,35
181,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,35
182,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,36
183,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,36
184,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,36
185,85,internal,4,founder (j),C->B,C,C,B,1.4461165,86,18,36
186,86,internal,3,founder (j),B->B,C,B,C,1.4397735,16,17,36
187,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,36
188,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,37
189,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,37
190,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,37
191,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,37
192,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,37
193,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,38
194,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,38
195,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,38
196,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,38
197,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,38
198,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,39
199,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,39
200,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,39
201,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,39
202,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,39
203,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,40
204,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,40
205,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,40
206,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,40
207,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,40
208,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,41
209,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,41
210,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,41
211,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,41
212,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,41
213,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,42
214,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,42
215,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,42
216,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,42
217,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,42
218,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,43
219,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,43
220,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,43
