,node,node.type,current_rangetxt,event_type,event_txt,ana_dispersal_from,dispersal_to,event_time,abs_event_time,nmap
1,24,internal,C,d,C->BC,C,B,0.407946447710662,3.90538756928934,9
2,24,internal,C,d,C->BC,C,B,1.09972474883757,3.21360926816243,15
3,24,internal,C,d,C->BC,C,B,2.0112058283408,2.3021281886592,16
4,31,internal,C,d,C->BC,C,B,0.258843877896782,4.61929531510322,108
5,31,internal,C,d,C->BC,C,B,2.61173038025435,2.26640881274565,134
6,24,internal,C,d,C->BC,C,B,0.800026231977071,3.51330778502293,146
7,24,internal,C,d,C->BC,C,B,0.650952874922914,3.66238114207709,153
8,30,internal,C,d,C->BC,C,B,0.172585092226545,4.99413586507345,154
9,31,internal,C,d,C->BC,C,B,0.562332125174654,4.31580706782535,170
10,31,internal,C,d,C->BC,C,B,1.77491231438631,3.10322687861369,193
11,31,internal,C,d,C->BC,C,B,0.345481556631164,4.53265763636884,196
12,31,internal,C,d,C->BC,C,B,1.14560068213285,3.73253851086715,248
13,24,internal,B,d,B->BC,B,C,0.573250615332581,3.74008340166742,260
14,31,internal,C,d,C->BC,C,B,2.90385754098843,1.97428165201157,294
15,24,internal,C,d,C->BC,C,B,1.77719474141422,2.53613927558578,299
16,24,internal,C,d,C->BC,C,B,1.64219801590164,2.67113600109836,322
17,31,internal,C,d,C->BC,C,B,2.4865173208147,2.3916218721853,328
18,31,internal,C,d,C->BC,C,B,0.403432694985183,4.47470649801482,344
19,24,internal,C,d,C->BC,C,B,0.328168735780839,3.98516528121916,355
20,31,internal,C,d,C->BC,C,B,2.76389346497845,2.11424572802155,355
21,31,internal,C,d,C->BC,C,B,1.7236737965177,3.1544653964823,363
22,31,internal,C,d,C->BC,C,B,1.35718020983008,3.52095898316992,395
23,31,internal,C,d,C->BC,C,B,1.35629385149184,3.52184534150816,422
24,31,internal,B,d,B->BC,B,C,0.155740416186324,4.72239877681368,436
25,31,internal,C,d,C->BC,C,B,2.42575550826851,2.45238368473149,472
26,31,internal,C,d,C->BC,C,B,1.81479253780898,3.06334665519102,525
27,24,internal,C,d,C->BC,C,B,0.89661000137991,3.41672401562009,542
28,27,internal,C,d,C->BC,C,B,0.155294778338244,4.63017237936176,544
29,31,internal,B,d,B->BC,B,C,1.61117318994856,3.26696600305144,563
30,31,internal,C,d,C->BC,C,B,2.39305690289126,2.48508229010874,571
31,24,internal,C,d,C->BC,C,B,1.57993291381524,2.73340110318476,582
32,24,internal,C,d,C->BC,C,B,0.927707065539504,3.3856269514605,585
33,24,internal,C,d,C->BC,C,B,1.40221884610157,2.91111517089844,591
34,24,internal,C,d,C->BC,C,B,0.824953952317904,3.4883800646821,618
35,24,internal,C,d,C->BC,C,B,0.991650742400859,3.32168327459914,643
36,31,internal,C,d,C->BC,C,B,1.44864633041058,3.42949286258942,769
37,31,internal,C,d,C->BC,C,B,2.59386082828475,2.28427836471525,776
38,24,internal,C,d,C->BC,C,B,1.36001917608133,2.95331484091867,791
39,24,internal,C,d,C->BC,C,B,1.45147630924938,2.86185770775062,796
40,24,internal,C,d,C->BC,C,B,1.95040645245109,2.36292756454891,824
41,24,internal,B,d,B->BC,B,C,1.30284390211117,3.01049011488883,838
42,31,internal,C,d,C->BC,C,B,0.341377394572419,4.53676179842758,839
43,31,internal,C,d,C->BC,C,B,1.19852521967183,3.67961397332817,840
44,24,internal,B,d,B->BC,B,C,1.28885751471752,3.02447650228248,868
45,31,internal,C,d,C->BC,C,B,2.48662107937488,2.39151811362512,870
46,31,internal,C,d,C->BC,C,B,2.82137433577183,2.05676485722817,871
47,27,internal,C,d,C->BC,C,B,0.308234970393478,4.47723218730652,883
48,31,internal,B,d,B->BC,B,C,2.2745073375042,2.6036318554958,893
49,31,internal,C,d,C->BC,C,B,2.88979892901009,1.98834026398991,920
50,31,internal,C,d,C->BC,C,B,2.00409347620226,2.87404571679774,973
51,31,internal,C,d,C->BC,C,B,0.239031542498344,4.63910765050166,983
52,31,internal,C,d,C->BC,C,B,1.7208925609213,3.1572466320787,991
