,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
1,19,root,4,founder (j),C->C,A,C,A,6.6399371,20,35,1
2,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,1
3,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,1
4,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,1
5,19,root,2,founder (j),A->C,A,A,C,6.6399371,20,35,2
6,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,2
7,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,2
8,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,2
9,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,3
10,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,3
11,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,3
12,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,4
13,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,4
14,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,4
15,19,root,2,founder (j),A->C,A,A,C,6.6399371,20,35,5
16,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,5
17,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,5
18,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,5
19,19,root,2,founder (j),A->C,A,A,C,6.6399371,20,35,6
20,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,6
21,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,6
22,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,6
23,19,root,4,founder (j),C->C,A,C,A,6.6399371,20,35,7
24,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,7
25,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,7
26,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,7
27,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,8
28,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,8
29,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,8
30,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,9
31,29,internal,4,founder (j),C->B,C,C,B,5.1667209,30,32,9
32,30,internal,3,founder (j),B->B,C,B,C,4.8781392,31,11,9
33,31,internal,3,founder (j),B->C,B,B,C,1.9612794,9,10,9
34,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,10
35,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,10
36,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,10
37,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,11
38,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,11
39,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,11
40,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,12
41,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,12
42,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,12
43,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,13
44,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,13
45,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,13
46,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,14
47,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,14
48,30,internal,4,founder (j),C->B,C,C,B,4.8781392,31,11,14
49,31,internal,3,founder (j),B->C,B,B,C,1.9612794,9,10,14
50,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,15
51,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,15
52,22,internal,4,founder (j),C->C,B,C,B,4.7854671,23,27,16
53,27,internal,3,founder (j),B->C,B,B,C,4.3618615,28,8,16
54,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,16
55,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,17
56,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,17
57,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,17
58,23,internal,4,founder (j),C->B,C,C,B,4.313334,24,26,18
59,24,internal,3,founder (j),B->C,B,B,C,2.2887183,25,3,18
60,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,18
61,30,internal,4,founder (j),C->B,C,C,B,4.8781392,31,11,18
62,31,internal,3,founder (j),B->C,B,B,C,1.9612794,9,10,18
63,19,root,4,founder (j),C->C,A,C,A,6.6399371,20,35,19
64,22,internal,4,founder (j),C->C,B,C,B,4.7854671,23,27,19
65,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,19
66,27,internal,3,founder (j),B->C,B,B,C,4.3618615,28,8,19
67,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,19
68,19,root,2,founder (j),A->C,A,A,C,6.6399371,20,35,20
69,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,20
70,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,20
71,30,internal,4,founder (j),C->B,C,C,B,4.8781392,31,11,20
72,31,internal,3,founder (j),B->C,B,B,C,1.9612794,9,10,20
73,23,internal,4,founder (j),C->B,C,C,B,4.313334,24,26,21
74,24,internal,3,founder (j),B->C,B,B,C,2.2887183,25,3,21
75,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,21
76,30,internal,4,founder (j),C->B,C,C,B,4.8781392,31,11,21
77,31,internal,3,founder (j),B->C,B,B,C,1.9612794,9,10,21
78,19,root,4,founder (j),C->C,A,C,A,6.6399371,20,35,22
79,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,22
80,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,22
81,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,22
82,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,23
83,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,23
84,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,23
85,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,24
86,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,24
87,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,24
88,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,25
89,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,25
90,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,25
91,19,root,4,founder (j),C->C,A,C,A,6.6399371,20,35,26
92,23,internal,4,founder (j),C->B,C,C,B,4.313334,24,26,26
93,24,internal,3,founder (j),B->C,B,B,C,2.2887183,25,3,26
94,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,26
95,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,26
96,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,27
97,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,27
98,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,27
99,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,28
100,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,28
101,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,28
102,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,29
103,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,29
104,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,29
105,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,30
106,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,30
107,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,30
108,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,31
109,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,31
110,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,31
