,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
1,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,1
2,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,1
3,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,1
4,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,2
5,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,2
6,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,2
7,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,3
8,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,3
9,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,3
10,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,3
11,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,4
12,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,4
13,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,4
14,28,internal,2,founder (j),A->A,C,A,C,9.8902159,29,18,5
15,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,5
16,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,5
17,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,5
18,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,6
19,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,6
20,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,6
21,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,7
22,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,7
23,45,internal,3,founder (j),B->C,B,B,C,13.5103594,46,48,7
24,27,internal,4,founder (j),C->C,B,C,B,14.6110133,28,45,8
25,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,8
26,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,8
27,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,8
28,45,internal,3,founder (j),B->C,B,B,C,13.5103594,46,48,8
29,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,9
30,30,internal,2,founder (j),A->A,B,A,B,8.029489,31,37,9
31,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,9
32,37,internal,3,founder (j),B->A,B,B,A,5.75728,38,12,9
33,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,9
34,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,10
35,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,10
36,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,10
37,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,10
38,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,11
39,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,11
40,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,11
41,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,11
42,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,12
43,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,12
44,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,12
45,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,12
46,27,internal,4,founder (j),C->C,B,C,B,14.6110133,28,45,13
47,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,13
48,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,13
49,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,13
50,45,internal,3,founder (j),B->C,B,B,C,13.5103594,46,48,13
51,27,internal,3,founder (j),B->C,B,B,C,14.6110133,28,45,14
52,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,14
53,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,14
54,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,14
55,45,internal,3,founder (j),B->C,B,B,C,13.5103594,46,48,14
56,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,15
57,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,15
58,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,15
59,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,15
60,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,16
