A->A,A	B->B,B	C->C,C
1	14	2	2
2	14	2	2
3	14	2	4
4	14	2	2
5	14	2	2
6	14	2	2
7	14	2	2
8	14	2	3
9	13	2	4
10	14	2	4
11	14	2	4
12	14	2	4
13	14	2	3
14	14	2	2
15	14	2	4
16	13	2	4
17	14	2	4
18	14	2	4
19	14	2	2
20	14	2	2
21	14	2	4
22	14	2	2
23	14	2	4
24	14	2	4
25	13	2	2
26	14	2	2
27	14	2	4
28	14	2	4
29	14	2	4
30	14	2	2
31	14	2	4
32	14	2	2
33	14	2	2
34	14	2	4
35	14	2	4
36	12	2	4
37	13	2	4
38	14	2	2
39	14	2	4
40	14	2	4
41	14	2	4
42	14	2	4
43	14	2	2
44	14	2	4
45	14	2	4
46	13	2	4
47	14	2	2
48	13	2	4
49	14	2	2
50	14	2	4
51	14	2	4
52	14	2	4
53	14	2	4
54	14	2	4
55	14	2	2
56	14	2	4
57	14	2	2
58	14	2	4
59	14	2	4
60	14	2	4
61	14	2	2
62	14	2	4
63	14	2	4
64	14	2	2
65	14	2	4
66	14	2	2
67	14	2	2
68	14	2	2
69	14	2	4
70	14	2	4
71	14	2	3
72	14	2	2
73	14	2	4
74	14	2	4
75	13	2	4
76	14	2	4
77	14	2	2
78	14	2	2
79	14	2	4
80	14	2	2
81	14	2	2
82	14	2	4
83	14	2	2
84	14	2	4
85	14	2	3
86	14	2	2
87	14	2	4
88	14	2	4
89	14	2	2
90	14	2	4
91	14	2	2
92	14	2	4
93	14	2	4
94	14	2	4
95	14	2	2
96	14	2	4
97	14	2	4
98	14	2	2
99	14	2	2
100	14	2	4
101	13	2	2
102	14	2	4
103	14	2	4
104	14	2	2
105	14	2	4
106	14	2	4
107	14	2	4
108	14	2	4
109	14	2	4
110	14	2	2
111	14	2	4
112	14	2	2
113	14	2	3
114	13	2	2
115	14	2	3
116	14	2	4
117	14	2	4
118	13	2	4
119	14	2	4
120	14	2	4
121	14	2	2
122	13	2	4
123	14	2	4
124	14	2	4
125	14	2	4
126	14	2	2
127	14	2	2
128	14	2	4
129	14	2	4
130	14	2	2
131	14	2	4
132	14	2	4
133	14	2	2
134	14	2	4
135	14	2	4
136	14	2	2
137	14	2	2
138	14	2	4
139	14	2	4
140	14	2	3
141	13	2	2
142	14	2	2
143	14	2	2
144	14	2	2
145	14	2	4
146	14	2	2
147	14	2	2
148	13	2	2
149	14	2	2
150	14	2	2
151	14	2	4
152	14	2	2
153	14	2	3
154	14	2	2
155	14	2	4
156	12	2	4
157	14	2	4
158	14	2	4
159	14	2	3
160	14	2	4
161	14	2	4
162	14	2	4
163	14	2	4
164	13	2	4
165	14	2	4
166	14	2	4
167	14	2	4
168	14	2	4
169	14	2	3
170	14	2	4
171	14	2	2
172	14	2	2
173	14	2	4
174	14	2	4
175	14	2	3
176	14	2	4
177	14	2	4
178	14	2	2
179	14	2	4
180	14	2	2
181	14	2	3
182	14	2	4
183	14	2	4
184	14	2	4
185	14	2	4
186	14	2	2
187	14	2	4
188	14	2	2
189	14	2	3
190	14	2	2
191	14	2	2
192	14	2	4
193	14	2	4
194	14	2	4
195	14	2	2
196	14	2	4
197	14	2	4
198	14	2	4
199	14	2	2
200	14	2	4
201	14	2	4
202	14	2	2
203	14	2	2
204	14	2	2
205	14	2	2
206	14	2	2
