,node,node.type,current_rangetxt,event_type,event_txt,ana_dispersal_from,dispersal_to,event_time,abs_event_time,nmap
1,16,internal,AC,d,AC->ABC,A,B,0.364173677198695,7.9833995303013,1
2,21,internal,A,d,A->AB,A,B,0.0545286929124081,4.44174210328759,1
3,5,tip,A,d,A->AB,A,B,5.13333956943456,2.38547281856544,2
4,7,tip,A,d,A->AB,A,B,0.354350481895089,1.72857660510491,2
5,22,internal,A,d,A->AB,A,B,0.561657425881705,3.17761623411829,2
6,5,tip,A,d,A->AB,A,B,5.07815997350861,2.44065241449139,3
7,22,internal,A,d,A->AB,A,B,0.0155535334573237,3.72372012654268,3
8,5,tip,A,d,A->AB,A,B,4.86774174564388,2.65107064235612,4
9,7,tip,B,d,B->AB,B,A,1.33128432529779,0.751642761702208,4
10,20,internal,A,d,A->AB,A,B,1.82819869458624,6.51937448041376,4
11,5,tip,A,d,A->AB,A,B,2.61550358849798,4.90330879950202,5
12,22,internal,A,d,A->AB,A,B,1.16905588992273,2.57021777007727,5
13,5,tip,A,d,A->AB,A,B,4.08564003384321,3.43317235415679,6
14,22,internal,A,d,A->AB,A,B,1.52466121440344,2.21461244559656,6
15,5,tip,B,d,B->AB,B,A,1.84754660965653,5.67126577834347,7
16,7,tip,B,d,B->AB,B,A,0.956561128980586,1.12636595801941,7
17,20,internal,B,d,B->AB,B,A,0.482916338104815,7.86465683689518,7
18,7,tip,B,d,B->AB,B,A,0.803376799283021,1.27955028771698,8
19,20,internal,B,d,B->AB,B,A,3.19970286337377,5.14787031162623,8
20,7,tip,B,d,B->AB,B,A,0.203538714845901,1.8793883721541,9
21,21,internal,A,d,A->AB,A,B,0.079435218604632,4.41683557759537,9
22,5,tip,B,d,B->AB,B,A,1.56497397535788,5.95383841264212,10
23,22,internal,A,d,A->AB,A,B,1.13279035263879,2.60648330736121,10
24,5,tip,B,d,B->AB,B,A,5.30814512777861,2.21066726022139,11
25,22,internal,A,d,A->AB,A,B,0.774291536439198,2.9649821235608,11
26,5,tip,A,d,A->AB,A,B,5.72634589340431,1.79246649459569,12
27,22,internal,A,d,A->AB,A,B,0.665167811502732,3.07410584849727,12
28,7,tip,B,d,B->AB,B,A,0.153358642485947,1.92956844451405,13
29,20,internal,B,d,B->AB,B,A,1.04176620142147,7.30580697357853,13
