AB->A,AB	AB->B,AB	ABC->A,ABC	ABC->B,ABC	ABC->C,ABC	AC->A,AC	AC->C,AC	BC->B,BC	BC->C,BC
1	1	2	0	0	0	1	1	0	0
2	0	1	0	0	0	1	1	0	0
3	0	2	0	0	0	1	1	0	0
4	1	0	0	0	0	1	1	0	0
5	0	2	0	0	0	1	1	0	0
6	0	2	0	0	0	1	1	0	0
7	1	0	0	0	0	0	0	1	1
8	1	0	0	1	1	0	0	0	0
9	0	0	1	0	1	0	0	0	0
10	0	2	0	0	1	0	0	0	0
11	0	2	0	0	1	0	0	0	0
12	0	2	0	0	0	1	1	0	0
13	1	0	0	1	1	0	0	0	0
14	0	2	0	0	0	1	1	0	0
15	0	2	1	0	1	0	0	0	0
16	2	2	0	0	0	1	1	0	0
17	0	2	0	0	0	1	1	0	0
18	0	2	0	0	0	1	1	0	0
19	0	0	0	0	0	1	1	0	0
20	0	2	0	0	0	1	1	0	0
21	0	1	1	0	1	0	0	0	0
22	1	0	0	0	0	0	0	1	1
23	1	2	1	0	1	0	0	0	0
24	0	2	0	0	0	1	1	0	0
25	0	2	0	0	0	1	1	0	0
26	0	1	0	0	0	1	1	0	0
27	0	2	1	0	1	0	0	0	0
28	0	2	0	0	1	0	0	0	0
29	0	2	1	0	1	0	0	0	0
30	0	2	0	0	0	1	1	0	0
31	0	2	0	0	1	0	0	0	0
32	1	2	0	0	0	1	1	0	0
33	0	2	0	0	0	1	1	0	0
34	2	2	1	0	1	0	0	0	0
35	0	2	0	0	0	1	1	0	0
36	1	0	0	0	1	0	0	0	0
37	1	2	1	0	1	0	0	0	0
38	1	2	0	0	0	1	1	0	0
39	0	2	0	0	0	1	1	0	0
40	0	2	1	0	1	0	0	0	0
41	0	2	0	0	0	1	1	0	0
42	0	2	1	0	1	0	0	0	0
43	2	2	0	0	0	1	1	0	0
44	0	2	0	0	0	1	1	0	0
45	0	2	0	0	0	1	1	0	0
46	0	2	1	0	1	0	0	0	0
47	0	1	0	0	0	1	1	0	0
48	0	2	0	0	1	0	0	0	0
49	0	2	0	0	0	1	1	0	0
50	0	2	1	0	1	0	0	0	0
51	0	2	1	0	1	0	0	0	0
52	0	1	1	0	1	0	0	0	0
53	0	2	1	0	1	0	0	0	0
54	1	0	0	0	1	0	0	0	0
55	0	2	0	0	0	1	1	0	0
56	0	0	1	0	1	0	0	0	0
57	1	0	0	0	0	0	0	1	1
58	2	2	1	0	1	0	0	0	0
59	0	2	0	0	0	1	1	0	0
60	0	2	0	0	1	0	0	0	0
61	1	0	0	0	0	1	1	0	0
62	0	2	1	0	1	0	0	0	0
63	0	2	1	0	1	0	0	0	0
64	0	2	0	0	0	1	1	0	0
65	1	0	0	1	1	0	0	0	0
66	0	2	0	0	0	1	1	0	0
67	1	0	0	0	0	0	0	1	1
68	1	2	0	0	0	1	1	0	0
69	0	2	1	0	1	0	0	0	0
70	0	2	1	0	1	0	0	0	0
71	2	2	0	0	1	0	0	0	0
72	2	1	0	0	0	0	0	1	1
73	0	2	1	0	1	0	0	0	0
74	0	1	0	0	0	1	1	0	0
75	0	2	1	0	1	0	0	0	0
76	0	2	1	0	1	0	0	0	0
77	0	2	0	0	0	1	1	0	0
78	0	2	0	0	0	1	1	0	0
79	0	2	1	0	1	0	0	0	0
80	0	2	0	0	0	1	1	0	0
81	2	2	0	0	0	1	1	0	0
82	0	2	1	0	1	0	0	0	0
83	1	0	0	0	0	0	0	1	1
84	0	2	0	0	1	0	0	0	0
85	1	0	0	0	1	0	0	0	0
86	0	2	0	0	0	1	1	0	0
87	0	2	1	0	1	0	0	0	0
88	1	0	1	0	1	0	0	0	0
89	1	0	0	0	0	1	1	0	0
90	0	2	1	0	1	0	0	0	0
91	1	2	0	0	0	1	1	0	0
92	0	0	1	0	1	0	0	0	0
93	0	2	1	0	1	0	0	0	0
94	0	2	1	0	1	0	0	0	0
95	0	2	0	0	0	0	0	0	0
96	0	2	1	0	1	0	0	0	0
97	0	1	1	0	1	0	0	0	0
98	0	2	0	0	0	1	1	0	0
99	0	2	0	0	0	1	1	0	0
100	1	0	0	0	0	1	1	0	0
101	0	2	0	0	0	1	1	0	0
102	0	2	1	0	1	0	0	0	0
103	2	2	0	0	1	0	0	0	0
104	0	2	0	0	0	1	1	0	0
105	0	2	0	0	1	0	0	0	0
106	2	2	0	0	0	0	0	0	0
107	1	2	1	0	1	0	0	0	0
108	0	2	0	0	0	1	1	0	0
109	0	2	0	0	0	0	0	0	0
110	2	2	0	0	0	0	0	1	1
111	0	2	0	0	0	1	1	0	0
112	0	2	0	0	0	1	1	0	0
113	1	0	0	1	1	0	0	0	0
114	0	2	0	0	0	1	1	0	0
115	1	0	0	1	1	0	0	0	0
116	1	1	1	0	1	0	0	0	0
117	1	2	0	0	0	1	1	0	0
118	0	0	1	0	1	0	0	0	0
119	0	2	1	0	1	0	0	0	0
120	2	0	0	0	0	0	0	0	0
121	1	0	0	0	0	0	0	0	0
122	2	2	0	0	1	0	0	0	0
123	0	2	1	0	1	0	0	0	0
124	0	2	0	0	0	1	1	0	0
125	0	2	1	0	1	0	0	0	0
126	0	2	0	0	0	1	1	0	0
127	0	2	0	0	0	1	1	0	0
128	0	0	0	0	0	1	1	0	0
129	0	0	1	0	1	0	0	0	0
130	2	2	0	0	0	0	0	1	1
131	0	2	0	0	1	0	0	0	0
132	0	2	0	0	0	1	0	0	0
133	0	2	0	0	0	1	1	0	0
134	1	0	0	0	1	0	0	0	0
135	0	2	0	0	1	0	0	0	0
136	1	2	0	0	0	1	1	0	0
137	1	0	0	0	0	0	0	1	1
138	0	2	1	0	1	0	0	0	0
139	0	2	1	0	1	0	0	0	0
140	2	2	0	0	1	0	0	0	0
141	0	2	0	0	0	1	1	0	0
142	0	2	0	0	0	1	1	0	0
143	0	2	0	0	0	1	0	0	0
144	0	2	0	0	0	1	1	0	0
145	1	2	0	0	1	0	0	0	0
146	1	0	0	0	0	1	1	0	0
147	0	2	0	0	0	1	1	0	0
148	0	2	0	0	0	1	1	0	0
149	2	2	0	0	0	0	0	1	1
150	0	2	0	0	0	1	1	0	0
151	2	2	0	1	1	0	0	0	0
152	0	2	0	0	0	1	1	0	0
153	2	2	0	0	1	0	0	0	0
154	2	2	0	0	0	1	1	0	0
155	0	2	1	0	1	0	0	0	0
156	0	2	0	0	0	1	1	0	0
157	0	1	1	0	1	0	0	0	0
158	1	2	0	0	0	0	0	0	0
159	1	0	0	1	1	0	0	0	0
160	0	2	1	0	1	0	0	0	0
161	1	0	1	0	1	0	0	0	0
162	0	2	1	0	1	0	0	0	0
163	0	2	1	0	1	0	0	0	0
164	0	2	0	0	0	1	1	0	0
165	0	2	1	0	1	0	0	0	0
166	1	2	0	0	0	1	1	0	0
167	0	2	0	0	0	1	1	0	0
168	0	2	1	0	1	0	0	0	0
169	2	2	1	0	1	0	0	0	0
170	2	2	0	0	0	0	0	0	0
171	0	2	0	0	0	1	1	0	0
172	0	2	0	0	0	1	1	0	0
173	2	2	0	0	1	0	0	0	0
174	0	2	1	0	1	0	0	0	0
175	2	2	0	0	1	0	0	0	0
176	0	2	1	0	1	0	0	0	0
177	0	2	1	0	1	0	0	0	0
178	2	1	0	0	0	0	0	1	1
179	0	1	1	0	1	0	0	0	0
180	0	2	0	0	0	1	1	0	0
181	1	0	0	1	1	0	0	0	0
182	0	2	1	0	1	0	0	0	0
183	0	2	0	0	0	1	1	0	0
184	2	2	1	0	1	0	0	0	0
185	0	2	1	0	1	0	0	0	0
186	0	2	0	0	0	1	1	0	0
187	0	1	1	0	1	0	0	0	0
188	0	2	0	0	0	0	0	0	0
189	1	0	0	1	1	0	0	0	0
190	0	2	0	0	0	1	1	0	0
191	0	2	0	0	0	1	1	0	0
192	0	2	1	0	1	0	0	0	0
193	0	2	1	0	1	0	0	0	0
194	0	2	1	0	1	0	0	0	0
195	1	0	0	0	0	1	1	0	0
196	0	2	1	0	1	0	0	0	0
197	0	2	1	0	1	0	0	0	0
198	0	0	0	0	1	0	0	0	0
199	0	2	0	0	0	1	1	0	0
200	0	2	1	0	1	0	0	0	0
201	1	2	0	0	1	0	0	0	0
202	0	2	0	0	0	1	1	0	0
203	0	2	0	0	0	1	1	0	0
204	0	0	0	0	0	1	1	0	0
205	0	2	0	0	0	1	1	0	0
206	1	0	0	0	0	1	1	0	0
207	0	2	0	0	0	1	1	0	0
208	0	2	0	0	1	0	0	0	0
209	1	0	0	1	1	0	0	0	0
210	0	2	1	0	1	0	0	0	0
211	1	0	0	0	0	1	0	0	0
212	0	2	0	0	0	1	1	0	0
213	0	2	1	0	1	0	0	0	0
214	1	2	1	0	1	0	0	0	0
215	2	2	0	0	0	1	1	0	0
216	0	2	0	0	0	1	1	0	0
217	0	2	0	0	0	1	1	0	0
218	1	0	1	0	1	0	0	0	0
