A->A,A	B->B,B	C->C,C
1	1	0	5
2	2	0	5
3	2	0	5
4	0	2	5
5	2	0	5
6	2	0	5
7	0	2	5
8	0	2	5
9	1	2	5
10	2	0	5
11	2	0	5
12	2	0	5
13	0	2	5
14	2	0	5
15	2	0	5
16	0	0	5
17	2	0	5
18	2	0	5
19	1	2	5
20	2	0	5
21	2	0	5
22	0	2	5
23	1	0	5
24	2	0	5
25	2	0	5
26	2	0	5
27	2	0	5
28	2	0	5
29	2	0	5
30	2	0	5
31	2	0	5
32	1	0	5
33	2	0	5
34	0	0	5
35	2	0	5
36	0	2	5
37	1	0	5
38	1	0	5
39	2	0	5
40	2	0	5
41	2	0	5
42	2	0	5
43	0	0	5
44	2	0	5
45	2	0	5
46	2	0	5
47	2	0	5
48	2	0	5
49	2	0	5
50	2	0	5
51	2	0	5
52	2	0	5
53	2	0	5
54	0	2	5
55	2	0	5
56	1	2	5
57	0	2	5
58	0	0	5
59	2	0	5
60	2	0	5
61	0	2	5
62	2	0	5
63	2	0	5
64	2	0	5
65	0	2	5
66	2	0	5
67	0	2	5
68	1	0	5
69	2	0	5
70	2	0	5
71	0	0	5
72	0	0	5
73	2	0	5
74	2	0	5
75	2	0	5
76	2	0	5
77	2	0	5
78	2	0	5
79	2	0	5
80	2	0	5
81	0	0	5
82	2	0	5
83	0	2	5
84	2	0	5
85	0	2	5
86	2	0	5
87	2	0	5
88	0	2	5
89	0	2	5
90	2	0	5
91	1	0	5
92	1	2	5
93	2	0	5
94	2	0	5
95	3	0	5
96	2	0	5
97	2	0	5
98	2	0	5
99	2	0	5
100	0	2	5
101	2	0	5
102	2	0	5
103	0	0	5
104	2	0	5
105	2	0	5
106	1	0	5
107	1	0	5
108	2	0	5
109	3	0	5
110	0	0	5
111	2	0	5
112	2	0	5
113	0	2	5
114	2	0	5
115	0	2	5
116	1	0	5
117	1	0	5
118	1	2	5
119	2	0	5
120	0	2	5
121	1	2	5
122	0	0	5
123	2	0	5
124	2	0	5
125	2	0	5
126	2	0	5
127	2	0	5
128	1	2	5
129	1	2	5
130	0	0	5
131	2	0	5
132	2	0	5
133	2	0	5
134	0	2	5
135	2	0	5
136	1	0	5
137	0	2	5
138	2	0	5
139	2	0	5
140	0	0	5
141	2	0	5
142	2	0	5
143	2	0	6
144	2	0	5
145	1	0	5
146	0	2	5
147	2	0	5
148	2	0	5
149	0	0	5
150	2	0	5
151	0	0	5
152	2	0	5
153	0	0	5
154	0	0	5
155	2	0	5
156	2	0	5
157	2	0	5
158	2	0	5
159	0	2	5
160	2	0	5
161	0	2	5
162	2	0	5
163	2	0	5
164	2	0	5
165	2	0	5
166	0	0	5
167	2	0	5
168	2	0	5
169	0	0	5
170	1	0	5
171	2	0	5
172	2	0	5
173	0	0	5
174	2	0	5
175	0	0	5
176	2	0	5
177	2	0	5
178	0	0	5
179	1	1	5
180	2	0	5
181	0	2	5
182	2	0	5
183	2	0	5
184	0	0	5
185	2	0	5
186	2	0	5
187	2	0	5
188	3	0	5
189	0	2	5
190	2	0	5
191	2	0	5
192	2	0	5
193	2	0	5
194	2	0	5
195	0	2	5
196	2	0	5
197	2	0	5
198	1	2	5
199	2	0	5
200	2	0	5
201	1	0	5
202	2	0	5
203	2	0	5
204	1	2	5
205	2	0	5
206	0	2	5
207	2	0	5
208	2	0	5
209	0	2	5
210	2	0	5
