,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
1,23,internal,3,founder (j),B->A,B,B,A,6.9527128,24,37,1
2,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,1
3,32,internal,2,founder (j),A->A,B,A,B,1.8728553,33,36,1
4,33,internal,2,founder (j),A->C,A,A,C,1.6223356,34,35,1
5,36,internal,3,founder (j),B->C,B,B,C,1.7517825,13,14,1
6,37,internal,3,founder (j),B->C,B,B,C,5.358032,38,18,1
7,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,1
8,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,2
9,32,internal,4,founder (j),C->A,C,C,A,1.8728553,33,36,2
10,33,internal,2,founder (j),A->C,A,A,C,1.6223356,34,35,2
11,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,2
12,37,internal,3,founder (j),B->C,B,B,C,5.358032,38,18,2
13,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,2
14,23,internal,2,founder (j),A->A,C,A,C,6.9527128,24,37,3
15,24,internal,2,founder (j),A->A,C,A,C,5.1293042,25,32,3
16,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,3
17,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,3
18,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,3
19,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,3
20,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,3
21,22,root,2,founder (j),A->C,A,A,C,8.268425,23,40,4
22,24,internal,4,founder (j),C->A,C,C,A,5.1293042,25,32,4
23,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,4
24,32,internal,4,founder (j),C->A,C,C,A,1.8728553,33,36,4
25,33,internal,2,founder (j),A->C,A,A,C,1.6223356,34,35,4
26,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,4
27,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,4
28,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,4
29,24,internal,3,founder (j),B->A,B,B,A,5.1293042,25,32,5
30,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,5
31,32,internal,3,founder (j),B->A,B,B,A,1.8728553,33,36,5
32,33,internal,2,founder (j),A->C,A,A,C,1.6223356,34,35,5
33,36,internal,3,founder (j),B->C,B,B,C,1.7517825,13,14,5
34,40,internal,4,founder (j),C->A,C,C,A,3.2862197,41,21,5
35,23,internal,3,founder (j),B->A,B,B,A,6.9527128,24,37,6
36,24,internal,2,founder (j),A->A,C,A,C,5.1293042,25,32,6
37,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,6
38,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,6
39,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,6
40,37,internal,3,founder (j),B->C,B,B,C,5.358032,38,18,6
41,40,internal,4,founder (j),C->A,C,C,A,3.2862197,41,21,6
42,22,root,3,founder (j),B->B,C,B,C,8.268425,23,40,7
43,23,internal,3,founder (j),B->A,B,B,A,6.9527128,24,37,7
44,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,7
45,32,internal,2,founder (j),A->A,B,A,B,1.8728553,33,36,7
46,33,internal,2,founder (j),A->C,A,A,C,1.6223356,34,35,7
47,36,internal,3,founder (j),B->C,B,B,C,1.7517825,13,14,7
48,37,internal,3,founder (j),B->C,B,B,C,5.358032,38,18,7
49,40,internal,4,founder (j),C->A,C,C,A,3.2862197,41,21,7
50,23,internal,4,founder (j),C->C,B,C,B,6.9527128,24,37,8
51,24,internal,4,founder (j),C->A,C,C,A,5.1293042,25,32,8
