A->A,A	B->B,B	C->C,C
1	9	0	3
2	8	0	3
3	9	0	4
4	8	0	4
5	8	0	3
6	8	0	4
7	9	0	3
8	8	0	3
9	8	0	6
10	8	0	4
11	9	0	4
12	9	0	4
13	8	0	5
14	7	0	3
15	8	0	5
16	7	0	4
17	8	0	6
18	8	0	5
19	8	0	4
20	9	0	3
21	7	0	5
22	9	0	3
23	8	0	6
24	9	0	4
25	8	0	4
26	7	1	3
27	7	0	6
28	9	0	3
29	8	0	3
30	8	0	4
31	9	0	3
32	8	0	4
33	8	0	4
34	8	0	4
35	9	0	4
36	5	0	4
37	6	0	5
38	9	0	3
39	8	0	6
40	8	0	6
41	7	1	3
42	9	0	3
43	9	0	3
44	8	0	3
45	10	0	3
46	8	0	5
47	8	0	4
48	9	0	4
49	8	0	4
50	8	0	4
51	8	0	5
52	8	0	6
53	8	0	4
54	9	0	3
55	9	0	3
56	8	0	6
57	8	0	4
58	7	0	5
59	8	0	5
60	9	0	3
61	9	0	3
62	8	0	4
63	8	0	5
64	10	0	3
65	8	0	5
66	8	0	3
67	8	0	4
68	8	0	4
69	8	0	6
70	8	0	6
71	8	0	3
72	7	1	3
73	8	0	6
74	7	0	5
75	8	0	5
76	9	0	3
77	8	0	4
78	8	0	4
79	7	0	3
80	9	0	4
81	8	0	4
82	8	0	6
83	8	1	3
84	9	0	4
85	8	0	3
86	7	0	3
87	8	0	6
88	8	0	5
89	8	0	4
90	8	0	5
91	9	0	3
92	8	0	5
93	8	0	5
94	8	0	3
95	8	0	4
96	8	0	6
97	8	0	6
98	9	0	3
99	8	0	4
100	10	0	3
101	8	0	3
102	8	0	4
103	8	0	3
104	10	0	3
105	8	0	6
106	9	0	3
107	8	0	6
108	7	0	5
109	9	0	3
110	8	1	3
111	8	0	4
112	10	0	3
113	8	0	3
114	8	0	3
115	8	0	4
116	8	0	6
117	8	0	6
118	8	0	5
119	8	0	5
120	8	0	3
121	9	0	3
122	9	0	3
123	8	0	6
124	7	0	6
125	8	0	6
126	8	0	3
127	8	0	3
128	9	0	3
129	8	0	5
130	9	0	3
131	9	0	3
132	8	0	3
133	9	0	3
134	9	0	3
135	9	0	4
136	8	1	3
137	8	0	4
138	8	0	6
139	8	0	6
140	8	0	4
141	7	0	3
142	8	0	4
143	8	1	3
144	10	0	3
145	8	0	4
146	9	0	3
147	9	0	3
148	8	0	3
149	8	0	4
150	8	0	3
151	8	0	4
152	10	0	3
153	8	0	4
154	7	0	3
155	8	0	6
156	8	0	6
157	8	0	4
158	8	0	3
159	7	0	4
160	8	0	4
161	8	0	6
162	9	0	4
163	7	0	4
164	9	0	4
165	8	0	5
166	9	0	4
167	8	0	5
168	5	0	7
169	8	0	4
170	8	0	4
171	10	0	3
172	8	0	3
173	9	0	3
174	8	0	6
175	8	0	3
176	8	0	4
177	8	0	4
178	7	0	4
179	8	0	4
180	9	0	3
181	8	0	4
182	8	0	3
183	8	0	4
184	8	0	3
185	8	0	4
186	8	0	4
187	7	0	6
188	9	0	3
189	8	0	4
190	8	0	5
191	8	0	4
192	8	0	4
193	8	0	4
194	9	0	3
195	8	0	3
196	7	0	6
197	8	0	6
198	9	0	4
199	9	0	3
200	8	0	6
201	8	0	4
202	9	0	3
203	8	0	3
204	10	0	3
205	9	0	3
206	8	0	4
207	9	0	3
208	9	0	3
209	8	0	6
210	8	0	3
211	8	0	4
212	8	1	3
213	8	0	6
214	8	0	6
215	7	0	3
216	8	0	4
217	9	0	3
218	9	0	3
219	8	0	3
220	8	0	4
221	9	0	4
222	7	0	5
223	7	0	5
224	8	0	6
225	8	0	3
226	8	0	3
227	10	0	3
228	8	1	3
229	8	0	3
230	8	0	3
231	8	0	3
232	9	0	3
233	9	0	3
234	9	0	3
235	8	0	4
236	7	0	5
237	9	0	3
238	8	0	4
239	8	0	6
240	8	0	5
241	7	0	3
242	9	0	4
243	7	0	4
244	8	0	6
245	8	0	6
246	7	0	3
247	7	0	4
248	8	0	5
249	8	0	4
250	8	0	3
251	8	0	4
252	9	0	3
253	9	0	4
254	8	0	5
255	8	0	4
256	9	0	3
257	8	0	4
258	8	0	5
259	8	0	4
260	8	0	3
261	8	0	4
262	7	0	4
263	8	0	4
264	8	0	4
265	8	0	6
266	9	0	4
267	8	0	3
268	8	0	3
269	10	0	3
270	8	0	5
271	8	0	6
272	8	0	5
273	8	0	5
274	8	0	3
275	8	0	6
276	8	0	3
277	9	0	3
278	8	1	3
279	8	1	3
280	7	0	5
281	8	0	5
282	9	0	3
283	7	0	4
284	8	0	5
285	8	0	4
286	8	0	4
287	10	0	3
288	9	0	3
289	8	0	5
290	8	0	4
291	8	0	3
292	8	0	4
293	8	0	4
294	8	0	5
295	8	0	3
296	8	0	4
297	7	0	6
298	8	0	4
299	9	0	3
300	8	0	3
301	9	0	3
302	10	0	3
303	9	0	3
304	8	0	4
305	8	0	6
306	10	0	3
307	8	0	4
308	8	1	3
309	6	0	3
310	8	0	5
311	9	0	3
312	9	0	4
313	8	0	3
314	8	0	5
315	8	0	4
316	8	0	4
317	8	0	6
318	9	0	4
319	9	0	3
320	9	0	3
321	8	0	4
322	9	0	3
323	8	0	4
324	9	0	3
325	8	0	5
326	8	0	4
327	9	0	3
328	8	0	6
329	9	0	3
330	10	0	3
331	8	0	5
332	8	1	3
333	8	0	3
334	8	0	4
335	9	0	3
336	10	0	3
337	7	0	5
338	8	0	4
339	8	0	4
340	8	0	3
341	9	0	4
342	10	0	3
343	8	0	3
344	8	0	6
345	7	0	4
346	9	0	4
347	8	0	4
348	9	0	3
349	8	0	5
350	9	0	3
351	9	0	4
352	9	0	3
353	8	0	5
354	8	0	3
355	8	0	4
356	8	0	4
357	8	0	4
358	8	0	5
359	8	0	3
360	9	0	3
361	8	0	4
362	9	0	3
363	8	0	3
364	9	0	4
365	10	0	3
366	7	0	3
367	8	0	5
368	7	1	3
369	8	0	4
370	8	0	4
371	8	0	4
372	8	0	5
373	8	0	6
374	6	0	5
375	8	0	4
376	8	0	4
377	8	0	3
378	8	0	4
379	9	0	4
380	8	0	3
381	8	0	3
382	8	0	4
383	10	0	3
384	7	0	4
385	8	0	3
386	10	0	3
387	8	0	6
388	10	0	3
389	8	0	4
390	10	0	3
391	8	0	4
392	9	0	3
393	8	0	5
394	7	0	3
395	9	0	3
396	8	0	6
397	8	0	5
398	8	0	3
399	9	0	3
400	8	0	4
401	8	0	3
402	9	0	3
403	9	0	4
404	8	0	4
405	9	0	3
406	5	0	7
407	10	0	3
408	8	0	5
409	8	0	4
410	9	0	4
411	9	0	3
412	8	0	4
413	8	0	4
414	9	0	3
415	8	0	5
416	8	1	3
417	8	0	4
418	9	0	3
419	8	0	3
420	8	0	3
421	8	0	4
422	8	0	4
423	7	0	4
424	7	0	5
425	8	0	4
426	8	0	5
427	10	0	3
428	9	0	4
429	10	0	3
430	9	0	3
431	9	0	3
432	8	0	5
433	8	0	6
434	8	0	6
435	9	0	4
436	7	0	5
437	8	0	3
438	7	1	3
439	8	0	4
440	8	0	6
441	8	0	3
442	8	0	3
443	8	0	3
444	9	0	3
445	7	0	4
446	8	1	3
447	10	0	3
448	10	0	3
449	9	0	3
450	7	0	4
451	8	0	6
452	8	0	5
453	8	0	3
454	8	0	5
455	8	0	5
456	8	0	3
457	8	0	3
458	9	0	3
459	8	0	3
460	8	0	4
461	8	0	4
462	9	0	3
463	9	0	3
464	9	0	3
465	8	0	5
466	9	0	3
467	9	0	3
468	8	0	4
469	5	0	6
470	5	0	3
471	8	0	3
472	10	0	3
473	6	0	6
474	8	0	5
475	9	0	3
476	9	0	3
477	10	0	3
478	9	0	4
479	9	0	3
480	9	0	3
481	9	0	4
482	8	0	6
483	7	0	3
484	9	0	3
485	8	0	4
486	10	0	3
487	6	0	4
488	8	0	5
489	8	0	6
490	10	0	3
491	9	0	3
492	10	0	3
493	7	0	6
494	10	0	3
495	7	0	4
496	8	0	5
497	5	0	6
498	8	0	3
499	10	0	3
500	9	0	4
501	8	0	4
502	8	0	5
503	8	0	5
504	7	0	6
505	8	0	4
506	9	0	4
507	8	0	3
508	8	0	5
509	8	0	4
510	8	0	3
511	8	0	5
512	9	0	3
513	8	0	4
514	8	0	6
515	10	0	3
516	9	0	3
517	8	0	4
518	8	0	5
519	8	0	5
520	9	0	3
521	9	0	3
522	8	0	4
523	8	0	5
524	9	0	3
525	8	0	6
526	9	0	3
527	8	0	4
528	9	0	3
529	7	0	4
530	8	0	3
531	9	0	3
532	8	1	3
533	9	0	3
534	8	0	3
535	9	0	3
536	8	0	6
537	8	0	5
538	8	0	4
539	9	0	3
540	8	0	4
541	10	0	3
542	8	0	3
543	9	0	3
544	10	0	3
545	8	0	4
546	8	0	4
547	8	1	3
548	8	0	5
549	8	0	4
550	8	0	4
551	8	0	5
552	9	0	3
553	8	0	4
554	10	0	3
555	7	0	4
556	9	0	3
557	8	0	5
558	8	0	6
559	7	0	3
560	8	0	3
561	8	0	5
562	9	0	3
563	10	0	3
564	8	0	3
565	8	0	6
566	7	0	3
567	8	0	3
568	8	0	4
569	8	0	4
570	9	0	3
571	8	0	5
572	9	0	4
573	9	0	3
574	6	0	6
575	8	1	3
576	8	1	3
577	8	0	3
578	8	0	5
579	8	0	5
580	8	0	3
581	10	0	3
582	8	1	3
583	9	0	3
584	8	0	4
585	8	0	4
586	9	0	3
587	10	0	3
588	8	0	6
589	8	0	6
590	8	0	5
591	8	0	3
592	8	0	4
593	9	0	4
594	9	0	3
595	8	0	3
596	8	0	5
597	6	0	4
598	8	0	3
599	9	0	3
600	7	0	5
601	9	0	3
602	9	0	3
603	8	0	6
604	9	0	3
605	9	0	3
606	5	0	4
607	10	0	3
608	9	0	3
609	9	0	3
610	9	0	3
611	8	0	3
612	8	0	5
613	9	0	3
614	10	0	3
615	8	0	6
616	8	0	4
617	8	0	3
618	10	0	3
619	8	0	6
620	8	0	6
621	8	0	4
622	8	0	4
623	8	1	3
624	5	0	6
625	8	0	3
626	8	0	4
627	8	0	4
628	7	0	5
629	8	0	5
630	8	0	4
631	9	0	4
632	9	0	4
633	8	0	4
634	9	0	3
635	9	0	4
636	8	0	6
637	8	0	6
638	8	0	4
639	8	0	5
640	7	0	5
641	8	0	5
642	8	0	3
643	9	0	3
644	8	0	6
645	8	0	4
646	9	0	3
647	8	0	3
648	9	0	3
649	8	0	5
650	8	0	5
651	8	0	6
652	9	0	4
653	8	0	6
654	8	0	4
655	8	0	4
656	9	0	3
657	10	0	3
658	9	0	3
659	8	0	6
660	9	0	3
661	8	0	5
662	9	0	3
663	8	0	5
664	9	0	3
665	9	0	4
666	8	0	6
667	8	0	5
668	8	0	4
669	8	0	6
670	8	0	4
671	8	0	3
672	8	0	4
673	8	0	4
674	8	0	3
675	8	0	4
676	6	0	4
677	8	0	4
678	6	0	3
679	8	0	4
680	8	0	4
681	9	0	3
682	9	0	3
683	8	0	5
684	8	0	6
685	7	0	3
686	9	0	3
687	8	0	6
688	6	0	5
689	8	0	4
690	8	0	5
691	8	0	5
692	9	0	3
693	8	0	4
694	8	0	6
695	8	0	4
696	8	0	3
697	9	0	4
698	7	0	6
699	8	0	3
700	9	0	3
701	8	1	3
702	8	1	3
703	9	0	4
704	7	0	5
705	8	1	3
706	9	0	3
707	8	0	5
708	8	0	5
709	8	0	6
710	7	0	4
711	7	0	4
712	8	0	3
713	7	0	3
714	8	0	4
715	8	0	4
716	8	0	6
717	8	0	5
718	8	1	3
719	8	0	4
720	9	0	3
721	9	0	3
722	8	0	6
723	7	0	4
724	8	0	3
725	7	0	5
726	8	0	4
727	8	1	3
728	8	0	3
729	8	0	6
730	9	0	3
731	7	0	6
732	7	0	4
733	8	0	4
734	8	0	6
735	8	0	5
736	8	1	3
737	8	0	5
738	7	0	5
739	8	0	3
740	8	0	4
741	8	0	4
742	8	0	5
743	8	0	3
744	8	0	5
745	8	0	4
746	8	0	6
747	8	0	5
748	9	0	3
749	8	0	5
750	6	1	3
751	9	0	4
752	8	0	5
753	8	0	3
754	8	0	3
755	8	0	4
756	7	0	5
757	9	0	4
758	8	0	3
759	8	0	4
760	8	0	6
761	9	0	3
762	8	0	3
763	8	0	5
764	9	0	3
765	10	0	3
766	8	1	3
767	8	0	4
768	8	0	4
769	8	0	4
770	10	0	3
771	6	0	4
772	8	0	3
773	9	0	3
774	8	0	5
775	10	0	3
776	9	0	3
777	9	0	3
778	7	0	6
779	8	0	3
780	9	0	3
781	9	0	3
782	9	0	3
783	8	0	5
784	8	0	5
785	8	0	3
786	8	0	3
787	8	0	5
788	8	1	3
789	8	0	4
790	9	0	4
791	9	0	3
792	5	0	4
793	9	0	4
794	9	0	3
795	8	0	4
796	9	0	3
797	9	0	3
798	9	0	3
799	8	0	4
800	8	0	4
801	8	0	3
802	8	0	3
803	8	0	4
804	8	0	4
805	8	0	6
806	8	0	6
807	7	0	6
808	10	0	3
809	8	0	5
810	8	0	5
811	9	0	4
812	9	0	3
813	8	0	5
814	8	0	4
815	8	0	3
816	8	0	5
817	8	0	5
818	8	0	4
819	8	1	3
820	8	0	4
821	10	0	3
822	9	0	3
823	8	0	4
824	10	0	3
825	8	0	3
826	8	0	5
827	9	0	3
828	10	0	3
829	10	0	3
830	7	1	3
831	8	0	4
832	8	0	6
833	9	0	3
834	8	0	4
835	9	0	4
836	9	0	3
837	9	0	3
838	8	0	4
839	10	0	3
840	8	0	5
841	9	0	4
842	8	1	3
843	10	0	3
844	8	0	3
845	8	0	4
846	8	0	4
847	9	0	3
848	8	0	6
849	9	0	4
850	9	0	3
851	8	0	5
852	8	0	4
853	9	0	3
854	9	0	3
855	8	0	5
856	8	0	5
857	8	1	3
858	8	0	6
859	8	0	3
860	9	0	3
861	8	0	5
862	9	0	3
863	8	0	5
864	8	0	4
865	5	0	4
866	8	0	4
867	9	0	3
868	8	0	5
869	9	0	3
870	8	1	3
871	8	0	5
872	8	0	6
873	9	0	3
874	8	0	3
875	8	0	4
876	10	0	3
877	10	0	3
878	7	0	5
879	8	0	3
880	8	0	3
881	9	0	3
882	9	0	3
883	8	0	4
