,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
1,28,internal,2,founder (j),A->C,A,A,C,4.4213959,29,41,1
2,29,internal,4,founder (j),C->C,A,C,A,3.362699,30,37,1
3,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,1
4,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,1
5,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,1
6,45,internal,3,founder (j),B->A,B,B,A,1.6084318,46,18,1
7,46,internal,2,founder (j),A->A,B,A,B,0.859385,16,17,1
8,47,internal,3,founder (j),B->B,A,B,A,3.5694601,23,24,1
9,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,2
10,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,2
11,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,2
12,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,2
13,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,2
14,47,internal,3,founder (j),B->B,A,B,A,3.5694601,23,24,2
15,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,3
16,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,3
17,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,3
18,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,3
19,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,3
20,27,internal,2,founder (j),A->A,B,A,B,5.6994331,28,42,4
21,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,4
22,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,4
23,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,4
24,42,internal,3,founder (j),B->B,A,B,A,4.1799539,43,21,4
25,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,4
26,47,internal,3,founder (j),B->B,A,B,A,3.5694601,23,24,4
27,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,5
28,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,5
29,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,5
30,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,5
31,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,5
32,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,6
33,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,6
34,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,6
35,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,6
36,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,6
37,47,internal,3,founder (j),B->B,A,B,A,3.5694601,23,24,6
38,25,root,3,founder (j),B->A,B,B,A,6.7383456,26,47,7
39,28,internal,2,founder (j),A->C,A,A,C,4.4213959,29,41,7
40,29,internal,4,founder (j),C->C,A,C,A,3.362699,30,37,7
